NAMESPACE              NAME                                                          READY   STATUS                   RESTARTS        AGE     IP               NODE                   NOMINATED NODE   READINESS GATES
aibrix-system          aibrix-autoscaling-controller-manager-6cbd9c899d-ssfm7        1/1     Running                  0               2d15h   10.244.0.32      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-controller-manager-6fc5bb5845-jspbq                    1/1     Running                  0               2d15h   10.244.0.23      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-gateway-plugins-699cccddb9-f4mc2                       1/1     Running                  0               2d15h   10.244.0.25      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-gateway-visualizer-6b578bcdbf-jjmmg                    1/1     Running                  0               2d15h   10.244.0.31      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-gateway-visualizer-v2-567c75b54c-czzfr                 1/1     Running                  0               2d15h   10.244.0.30      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-gpu-optimizer-7cf8996c48-mvk42                         1/1     Running                  0               2d15h   10.244.0.22      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-kuberay-operator-79bb659f74-mkjdz                      1/1     Running                  0               2d15h   10.244.0.20      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-metadata-service-b77c76d46-6zkjm                       1/1     Running                  0               2d15h   10.244.0.24      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          aibrix-orchestration-controller-manager-698fc7986d-chh68      1/1     Running                  0               2d15h   10.244.3.8       nscc-ds-4a100-node9    <none>           <none>
aibrix-system          aibrix-orchestration-kuberay-operator-6978856c46-6r7qg        1/1     Running                  0               2d15h   10.244.3.7       nscc-ds-4a100-node9    <none>           <none>
aibrix-system          aibrix-redis-master-696649c96c-vsfhz                          1/1     Running                  0               2d15h   10.244.0.21      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          lxtaibrix-gateway-plugins-556cf69f9c-nqv24                    1/1     Running                  0               2d15h   10.244.0.26      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          service-management-5d7667649d-95r9d                           1/1     Running                  0               2d15h   10.244.0.46      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          service-management-xxy-58cbbf6586-9v6r6                       1/1     Running                  0               2d8h    10.244.0.90      nscc-ds-4a100-node10   <none>           <none>
aibrix-system          tre-controller-6996d7fbc7-8p5lb                               1/1     Running                  0               2d7h    10.244.0.93      nscc-ds-4a100-node10   <none>           <none>
envoy-gateway-system   envoy-aibrix-system-aibrix-eg-903790dc-66fdd78d9f-8bp75       0/2     ContainerStatusUnknown   2               71d     <none>           nscc-ds-4a100-node10   <none>           <none>
envoy-gateway-system   envoy-aibrix-system-aibrix-eg-903790dc-c95dd68-kwml9          2/2     Running                  0               4d1h    10.244.1.81      cloud                  <none>           <none>
