theta,support,attainment,healthy,violations,scenario_families,max_family_ratio
1.0,162,1.0,162,0,3,0.3333333333333333
1.3333333333333333,171,1.0,171,0,3,0.3333333333333333
1.6666666666666667,183,1.0,183,0,3,0.3442622950819672
2.0,324,1.0,324,0,3,0.3333333333333333
2.6666666666666665,342,1.0,342,0,6,0.32456140350877194
3.3333333333333335,357,1.0,357,0,6,0.3277310924369748
3.6666666666666665,371,1.0,371,0,6,0.33153638814016173
4.0,649,1.0,649,0,6,0.25115562403698
4.666666666666667,650,1.0,650,0,6,0.25076923076923074
5.333333333333333,668,1.0,668,0,6,0.2470059880239521
6.0,673,1.0,673,0,6,0.2526002971768202
7.333333333333333,685,1.0,685,0,6,0.2583941605839416
7.666666666666667,697,1.0,697,0,6,0.2539454806312769
8.0,972,1.0,972,0,6,0.2222222222222222
10.333333333333334,974,1.0,974,0,6,0.22381930184804927
10.666666666666666,990,1.0,990,0,6,0.22121212121212122
11.666666666666666,996,1.0,996,0,6,0.21987951807228914
15.0,1014,1.0,1014,0,6,0.22682445759368836
15.333333333333334,1025,1.0,1025,0,6,0.22926829268292684
15.666666666666666,1035,1.0,1035,0,6,0.22705314009661837
16.0,1297,1.0,1297,0,6,0.2081727062451812
19.666666666666668,1298,1.0,1298,0,6,0.20878274268104777
20.0,1299,1.0,1299,0,6,0.20939183987682833
20.333333333333332,1300,1.0,1300,0,6,0.21
20.666666666666668,1303,1.0,1303,0,6,0.20951650038372985
21.0,1304,1.0,1304,0,6,0.21012269938650308
21.333333333333332,1325,1.0,1325,0,6,0.20830188679245282
28.0,1331,1.0,1331,0,6,0.21187077385424494
29.666666666666668,1342,1.0,1342,0,6,0.21013412816691504
30.0,1344,1.0,1344,0,6,0.2113095238095238
30.333333333333332,1346,1.0,1346,0,6,0.21099554234769688
30.666666666666668,1357,1.0,1357,0,6,0.21296978629329402
31.0,1371,1.0,1371,0,6,0.212253829321663
31.333333333333332,1392,1.0,1392,0,6,0.21551724137931033
31.666666666666668,1413,1.0,1413,0,6,0.21868365180467092
32.0,1647,1.0,1647,0,6,0.20036429872495445
39.0,1649,1.0,1649,0,6,0.20072771376591875
40.333333333333336,1650,1.0,1650,0,6,0.2012121212121212
40.666666666666664,1652,1.0,1652,0,6,0.20217917675544794
41.0,1656,1.0,1656,0,6,0.2041062801932367
41.333333333333336,1658,1.0,1658,0,6,0.20506634499396864
41.666666666666664,1661,1.0,1661,0,6,0.20469596628537026
42.0,1663,1.0,1663,0,6,0.20565243535778713
42.333333333333336,1664,1.0,1664,0,6,0.20552884615384615
42.666666666666664,1681,1.0,1681,0,6,0.20523497917906008
44.333333333333336,1683,1.0,1683,0,6,0.20617944147355913
45.0,1685,1.0,1685,0,6,0.20712166172106825
46.0,1689,1.0,1689,0,6,0.20899940793368857
46.333333333333336,1693,1.0,1693,0,6,0.2108682811577082
47.0,1698,1.0,1698,0,6,0.21319199057714958
47.333333333333336,1710,1.0,1710,0,6,0.21871345029239767
48.0,1864,1.0,1864,0,6,0.20600858369098712
55.0,1870,1.0,1870,0,6,0.2053475935828877
58.666666666666664,1872,1.0,1872,0,6,0.20566239316239315
59.0,1876,1.0,1876,0,6,0.20735607675906184
59.666666666666664,1877,1.0,1877,0,6,0.20724560468833245
60.0,1879,1.0,1879,0,6,0.20702501330494943
60.333333333333336,1882,1.0,1882,0,6,0.20722635494155153
61.0,1883,1.0,1883,0,6,0.20711630377057885
61.333333333333336,1893,1.0,1893,0,6,0.20972002113048072
61.666666666666664,1894,1.0,1894,0,6,0.21013727560718057
62.0,1898,1.0,1898,0,6,0.20969441517386722
62.333333333333336,1903,1.0,1903,0,6,0.21071991592222805
62.666666666666664,1908,1.0,1908,0,6,0.21174004192872117
63.0,1916,1.0,1916,0,6,0.21346555323590813
63.333333333333336,1930,1.0,1930,0,6,0.21502590673575128
63.666666666666664,1945,1.0,1945,0,6,0.21696658097686375
64.0,2089,1.0,2089,0,6,0.20966969842029679
72.33333333333333,2091,1.0,2091,0,6,0.20946915351506457
74.66666666666667,2102,1.0,2102,0,6,0.20837297811607994
80.0,2108,1.0,2108,0,6,0.21015180265654648
83.33333333333333,2110,1.0,2110,0,6,0.2099526066350711
83.66666666666667,2112,1.0,2112,0,6,0.20975378787878787
84.33333333333333,2116,1.0,2116,0,6,0.20935727788279773
85.33333333333333,2134,1.0,2134,0,6,0.20759137769447047
88.0,2138,1.0,2138,0,6,0.20907390084190833
90.33333333333333,2143,1.0,2143,0,6,0.20858609426038263
91.0,2147,1.0,2147,0,6,0.20819748486259898
91.66666666666667,2154,1.0,2154,0,6,0.20798514391829154
92.33333333333333,2159,1.0,2159,0,6,0.20889300602130617
93.0,2171,1.0,2171,0,6,0.2086596038691847
93.33333333333333,2177,1.0,2177,0,6,0.21084060633899862
93.66666666666667,2181,1.0,2181,0,6,0.21228794131132508
94.0,2187,1.0,2187,0,6,0.21262002743484226
94.33333333333333,2194,1.0,2194,0,6,0.21422060164083864
94.66666666666667,2199,1.0,2199,0,6,0.2146430195543429
95.0,2208,1.0,2208,0,6,0.213768115942029
95.33333333333333,2226,1.0,2226,0,6,0.215633423180593
95.66666666666667,2245,1.0,2245,0,6,0.21514476614699332
96.0,2386,0.9983235540653814,2382,4,6,0.20368818105616093
96.33333333333333,2387,0.9979053204859657,2382,5,6,0.2036028487641391
106.33333333333333,2389,0.9970699037254082,2382,7,6,0.20343239849309336
106.66666666666667,2404,0.9908485856905158,2382,22,6,0.2021630615640599
109.66666666666667,2408,0.9908637873754153,2386,22,6,0.20182724252491693
111.0,2414,0.9908864954432477,2392,22,6,0.20132560066280034
111.33333333333333,2418,0.9896608767576509,2393,25,6,0.20099255583126552
111.66666666666667,2424,0.9896864686468647,2399,25,6,0.2004950495049505
112.0,2500,0.9876,2469,31,6,0.1944
114.66666666666667,2502,0.986810551558753,2469,33,6,0.19424460431654678
119.0,2503,0.9864163004394726,2469,34,6,0.19416699960047942
122.0,2509,0.9864487843762455,2475,34,6,0.1937026703866082
122.33333333333333,2515,0.9864811133200795,2481,34,6,0.19324055666003975
124.0,2521,0.986513288377628,2487,34,6,0.192780642602142
124.66666666666667,2525,0.9849504950495049,2487,38,6,0.19247524752475248
125.66666666666667,2529,0.9841834717279557,2489,40,6,0.19217081850533807
126.0,2533,0.9842084484800632,2493,40,6,0.19186735096723254
126.33333333333333,2537,0.9842333464722113,2497,40,6,0.19156484036263302
127.0,2550,0.984313725490196,2510,40,6,0.19058823529411764
128.0,2673,0.9726898615787505,2600,73,6,0.19566030677141788
139.66666666666666,2679,0.9727510265024263,2606,73,6,0.1959686450167973
141.33333333333334,2685,0.9728119180633147,2612,73,6,0.19776536312849163
142.0,2689,0.9728523614726664,2616,73,6,0.1974711788769059
142.66666666666666,2695,0.9729128014842301,2622,73,6,0.19777365491651205
143.0,2701,0.9711218067382451,2623,78,6,0.19955572010366532
143.66666666666666,2704,0.9711538461538461,2626,78,6,0.20044378698224852
144.0,2766,0.9642082429501084,2667,99,6,0.20607375271149675
149.66666666666666,2771,0.9624684229520029,2667,104,6,0.20570191266690727
157.66666666666666,2777,0.9603889088944905,2667,110,6,0.20741807706157725
159.0,2779,0.9596977329974811,2667,112,6,0.20798848506657072
159.66666666666666,2780,0.9593525179856115,2667,113,6,0.20827338129496403
160.0,2856,0.9338235294117647,2667,189,6,0.21498599439775912
168.66666666666666,2857,0.9334966748337417,2667,190,6,0.21526076303815192
170.66666666666666,2866,0.9305652477320308,2667,199,6,0.21772505233775297
178.66666666666666,2870,0.9292682926829269,2667,203,6,0.21881533101045297
183.0,2875,0.9276521739130434,2667,208,6,0.22017391304347825
183.66666666666666,2881,0.9257202360291565,2667,214,6,0.22179798681013538
185.0,2887,0.9237963283685486,2667,220,6,0.22133702805680638
191.0,2893,0.9218804009678534,2667,226,6,0.2208779813342551
191.66666666666666,2905,0.9180722891566265,2667,238,6,0.21996557659208263
192.0,3003,0.8881118881118881,2667,336,6,0.2231102231102231
242.33333333333334,3004,0.8878162450066578,2667,337,6,0.22336884154460718
244.33333333333334,3007,0.8869304955104755,2667,340,6,0.22414366478217493
254.0,3011,0.8857522417801394,2667,344,6,0.22517436067751578
256.0,3045,0.8758620689655172,2667,378,6,0.23382594417077177
