theta,support,attainment,healthy,violations,scenario_families,max_family_ratio
43.0,8,1.0,8,0,1,1.0
68.8,56,1.0,56,0,1,1.0
73.1,98,1.0,98,0,2,0.5714285714285714
77.4,110,1.0,110,0,2,0.509090909090909
86.0,116,1.0,116,0,2,0.5344827586206896
137.6,189,1.0,189,0,2,0.6190476190476191
146.2,225,1.0,225,0,2,0.52
171.0,229,1.0,229,0,3,0.5109170305676856
206.4,237,1.0,237,0,3,0.5274261603375527
219.3,238,1.0,238,0,3,0.5294117647058824
262.3,239,1.0,239,0,3,0.5313807531380753
273.6,302,1.0,302,0,4,0.4205298013245033
275.2,375,1.0,375,0,4,0.45866666666666667
279.5,383,1.0,383,0,4,0.4490861618798956
288.1,389,1.0,389,0,4,0.442159383033419
290.7,435,1.0,435,0,4,0.3954022988505747
292.4,447,1.0,447,0,4,0.38478747203579416
341.6666666666667,448,1.0,448,0,5,0.38392857142857145
410.0,452,1.0,452,0,5,0.3805309734513274
410.4,459,1.0,459,0,5,0.3747276688453159
412.8,497,1.0,497,0,5,0.4225352112676056
417.1,498,1.0,498,0,5,0.42369477911646586
442.9,499,1.0,499,0,5,0.4248496993987976
478.8,501,1.0,501,0,5,0.4231536926147705
516.0,507,1.0,507,0,5,0.4181459566074951
520.3,508,1.0,508,0,5,0.41732283464566927
524.6,511,1.0,511,0,5,0.41487279843444225
533.2,513,1.0,513,0,5,0.41325536062378165
541.8,515,1.0,515,0,5,0.4116504854368932
546.1,517,1.0,517,0,5,0.4119922630560928
546.6666666666666,594,1.0,594,0,6,0.35858585858585856
547.2,689,1.0,689,0,6,0.30914368650217705
550.4,756,0.9973544973544973,754,2,6,0.3187830687830688
576.2,757,0.9973579920739762,755,2,6,0.31968295904887717
580.8333333333334,785,0.9974522292993631,783,2,6,0.30828025477707005
581.4,789,0.9974651457541192,787,2,6,0.30671736375158426
584.8,790,0.9974683544303797,788,2,6,0.30759493670886073
589.1,791,0.9974715549936789,789,2,6,0.3084702907711757
619.2,842,0.997624703087886,840,2,6,0.3503562945368171
791.2,843,0.9976275207591934,841,2,6,0.35112692763938314
799.8,844,0.9976303317535545,842,2,6,0.3518957345971564
820.0,861,0.9976771196283392,859,2,6,0.34494773519163763
820.8,886,0.9977426636568849,884,2,6,0.33521444695259595
825.6,958,0.9572025052192067,917,41,6,0.38517745302713985
854.1666666666666,959,0.9572471324296142,918,41,6,0.38477580813347234
868.6,960,0.95625,918,42,6,0.3854166666666667
922.5,961,0.9562955254942768,919,42,6,0.3850156087408949
956.6666666666666,962,0.9563409563409564,920,42,6,0.38461538461538464
957.6,964,0.9564315352697096,922,42,6,0.38381742738589214
990.8333333333334,965,0.9564766839378238,923,42,6,0.38341968911917096
1025.0,996,0.9578313253012049,954,42,6,0.3714859437751004
1026.0,1030,0.9592233009708738,988,42,6,0.3592233009708738
1032.0,1076,0.9609665427509294,1034,42,6,0.34386617100371747
1044.9,1077,0.9610027855153204,1035,42,6,0.3435468895078923
1049.2,1078,0.9601113172541744,1035,43,6,0.34415584415584416
1057.8,1079,0.9601482854494903,1036,43,6,0.3438368860055607
1059.1666666666667,1080,0.9601851851851851,1037,43,6,0.3435185185185185
1075.0,1081,0.9602220166512488,1038,43,6,0.34320074005550416
1087.9,1082,0.9602587800369686,1039,43,6,0.34288354898336415
1093.3333333333333,1137,0.961301671064204,1093,44,6,0.32629727352682497
1094.4,1187,0.9612468407750632,1141,46,6,0.3125526537489469
1100.8,1190,0.9613445378151261,1144,46,6,0.31176470588235294
1179.9,1191,0.961376994122586,1145,46,6,0.31150293870696893
1195.4,1192,0.9605704697986577,1145,47,6,0.31208053691275167
1199.7,1193,0.9597652975691534,1145,48,6,0.3126571668063705
1231.2,1194,0.9597989949748744,1146,48,6,0.31239530988274705
1238.4,1212,0.9455445544554455,1146,66,6,0.3226072607260726
1316.7,1213,0.9455894476504534,1147,66,6,0.32234130255564714
1333.8,1214,0.9456342668863262,1148,66,6,0.32207578253706753
1402.2,1215,0.9448559670781893,1148,67,6,0.32181069958847736
1419.3,1216,0.9449013157894737,1149,67,6,0.3215460526315789
1504.8,1217,0.9449465899753492,1150,67,6,0.32128184059161874
1556.1,1218,0.9441707717569786,1150,68,6,0.32101806239737274
1640.0,1259,0.938046068308181,1181,78,6,0.31056393963463064
1641.6,1327,0.9148455162019593,1214,113,6,0.2946495855312736
1651.2,1328,0.9149096385542169,1215,113,6,0.2944277108433735
1659.8,1330,0.9150375939849624,1217,113,6,0.293984962406015
1677.0,1331,0.9151014274981217,1218,113,6,0.2937640871525169
1685.6,1332,0.9151651651651652,1219,113,6,0.29354354354354356
1694.2,1333,0.9152288072018004,1220,113,6,0.2933233308327082
1702.8,1335,0.9153558052434457,1222,113,6,0.29288389513108615
1715.7,1338,0.9155455904334828,1225,113,6,0.2922272047832586
1720.0,1339,0.9156086631814787,1226,113,6,0.29200896191187453
1724.3,1341,0.9157345264727815,1228,113,6,0.29157345264727813
1727.1,1342,0.9150521609538003,1228,114,6,0.29135618479880776
1728.6,1343,0.9151154132539091,1229,114,6,0.2911392405063291
1732.9,1344,0.9151785714285714,1230,114,6,0.29092261904761907
1737.2,1346,0.9153046062407132,1232,114,6,0.29049034175334326
