theta,support,attainment,healthy,violations,scenario_families,max_family_ratio
43.0,29,1.0,29,0,1,1.0
68.8,56,1.0,56,0,1,1.0
77.4,110,1.0,110,0,2,0.509090909090909
86.0,138,1.0,138,0,2,0.6086956521739131
137.6,171,1.0,171,0,2,0.6842105263157895
141.9,172,1.0,172,0,2,0.686046511627907
146.2,173,1.0,173,0,2,0.6878612716763006
154.8,227,1.0,227,0,2,0.5242290748898678
163.4,228,1.0,228,0,2,0.5263157894736842
167.7,229,1.0,229,0,2,0.5283842794759825
171.0,259,1.0,259,0,4,0.4671814671814672
172.0,276,1.0,276,0,4,0.5
188.1,278,1.0,278,0,4,0.49640287769784175
205.2,325,1.0,325,0,4,0.4246153846153846
273.6,361,1.0,361,0,5,0.38227146814404434
275.2,405,1.0,405,0,5,0.44938271604938274
290.7,421,1.0,421,0,6,0.4323040380047506
292.4,425,1.0,425,0,6,0.42823529411764705
296.7,436,1.0,436,0,6,0.41743119266055045
301.0,437,1.0,437,0,6,0.41647597254004576
305.3,449,1.0,449,0,6,0.4053452115812918
307.8,537,1.0,537,0,6,0.33891992551210426
309.6,563,1.0,563,0,6,0.32326820603907636
341.6666666666667,585,1.0,585,0,7,0.3111111111111111
342.0,616,1.0,616,0,7,0.29545454545454547
344.0,626,1.0,626,0,7,0.30670926517571884
359.1,627,1.0,627,0,7,0.3062200956937799
393.3,628,1.0,628,0,7,0.3057324840764331
410.4,672,1.0,672,0,7,0.2857142857142857
412.8,679,1.0,679,0,7,0.2930780559646539
442.9,680,1.0,680,0,7,0.29411764705882354
520.3,681,1.0,681,0,7,0.29515418502202645
546.6666666666666,719,1.0,719,0,7,0.2795549374130737
547.2,778,1.0,778,0,7,0.2583547557840617
550.4,823,1.0,823,0,7,0.29890643985419196
580.8333333333334,858,1.0,858,0,8,0.2867132867132867
581.4,884,1.0,884,0,8,0.27828054298642535
584.8,933,1.0,933,0,8,0.26366559485530544
589.1,934,1.0,934,0,8,0.2633832976445396
593.4,936,1.0,936,0,8,0.26282051282051283
610.6,937,1.0,937,0,8,0.26254002134471716
614.9,938,1.0,938,0,8,0.2622601279317697
615.0,957,1.0,957,0,8,0.25705329153605017
615.6,1025,1.0,1025,0,8,0.24
683.3333333333334,1041,1.0,1041,0,8,0.23631123919308358
684.0,1073,1.0,1073,0,8,0.22926374650512582
752.4,1075,1.0,1075,0,8,0.2288372093023256
820.8,1106,1.0,1106,0,8,0.2224231464737794
855.0,1107,1.0,1107,0,8,0.2222222222222222
872.1,1108,1.0,1108,0,8,0.22202166064981949
