ts	awake	submitted	loop	actions
2026-07-08T23:48:37Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=2	1	rescue	[{"kind":"scale","model":"dsqwen-7b","delta":-1,"reason":"idle_proactive_immediate","source_loop":"rescue","requires_safescale":false,"receiver":null,"donor":"dsqwen-7b"}]
2026-07-08T23:48:52Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:49:08Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:49:24Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:49:40Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:49:55Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:50:11Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:50:27Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:50:42Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:50:58Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:51:14Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:51:29Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:51:45Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:52:01Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:52:16Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:52:32Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:52:48Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:53:04Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:53:19Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:53:35Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:53:51Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:54:06Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:54:22Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:54:38Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:54:54Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:55:09Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:55:25Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:55:41Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:55:56Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:56:12Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:56:28Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:56:43Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:56:59Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:57:15Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:57:30Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:57:46Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
2026-07-08T23:58:02Z	dsllama-8b=1,dsqwen-14b=1,dsqwen-7b=1	NA	NA	NA
