NAME                                                       READY   STATUS    RESTARTS        AGE     IP             NODE                   NOMINATED NODE   READINESS GATES
dsllama-8b-nscc-ds-4a100-node9-gpu-0-6cbf96cdf5-2lvgv      1/1     Running   0               7h57m   10.244.3.52    nscc-ds-4a100-node9    <none>           <none>
dsllama-8b-nscc-ds-4a100-node9-gpu-1-5579b75f9b-kh5fx      1/1     Running   0               7h9m    10.244.3.57    nscc-ds-4a100-node9    <none>           <none>
dsllama-8b-nscc-ds-4a100-node9-gpu-2-6774997cb5-4sfmh      1/1     Running   0               4h10m   10.244.3.66    nscc-ds-4a100-node9    <none>           <none>
dsllama-8b-nscc-ds-4a100-node9-gpu-3-6bf484f758-8v5fz      1/1     Running   0               7h5m    10.244.3.59    nscc-ds-4a100-node9    <none>           <none>
dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-77d5997485-nc6nv   1/1     Running   0               7h3m    10.244.0.163   nscc-ds-4a100-node10   <none>           <none>
dsqwen-14b-nscc-ds-4a100-node10-gpu-2-3-66f57f5575-6dtl7   1/1     Running   0               7h1m    10.244.0.164   nscc-ds-4a100-node10   <none>           <none>
dsqwen-14b-nscc-ds-4a100-node9-gpu-0-1-7b8c77ddc5-hw9zp    1/1     Running   0               170m    10.244.3.73    nscc-ds-4a100-node9    <none>           <none>
dsqwen-14b-nscc-ds-4a100-node9-gpu-2-3-84f8576d97-wx5tb    1/1     Running   0               12m     10.244.3.76    nscc-ds-4a100-node9    <none>           <none>
dsqwen-7b-nscc-ds-4a100-node9-gpu-0-79b869c66b-cndx7       1/1     Running   5 (7h51m ago)   7h57m   10.244.3.53    nscc-ds-4a100-node9    <none>           <none>
dsqwen-7b-nscc-ds-4a100-node9-gpu-1-76cf6689c9-qbd4d       1/1     Running   0               173m    10.244.3.72    nscc-ds-4a100-node9    <none>           <none>
dsqwen-7b-nscc-ds-4a100-node9-gpu-2-7fc65f475b-zmnpj       1/1     Running   0               23m     10.244.3.74    nscc-ds-4a100-node9    <none>           <none>
dsqwen-7b-nscc-ds-4a100-node9-gpu-3-86c8574f65-rx4hq       1/1     Running   0               15m     10.244.3.75    nscc-ds-4a100-node9    <none>           <none>
