trace,arm,window_ts,model,node9_awake,node10_awake
t1,apa,2026-07-09T19:18:28Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:18:28Z,dsqwen-7b,3,1
t1,apa,2026-07-09T19:18:28Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:18:44Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:18:44Z,dsqwen-7b,3,1
t1,apa,2026-07-09T19:18:44Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:19:00Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:19:00Z,dsqwen-7b,3,1
t1,apa,2026-07-09T19:19:00Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:19:15Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:19:15Z,dsqwen-7b,3,1
t1,apa,2026-07-09T19:19:15Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:19:31Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:19:31Z,dsqwen-7b,3,1
t1,apa,2026-07-09T19:19:31Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:19:47Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:19:47Z,dsqwen-7b,3,1
t1,apa,2026-07-09T19:19:47Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:20:03Z,dsllama-8b,1,1
t1,apa,2026-07-09T19:20:03Z,dsqwen-7b,2,1
t1,apa,2026-07-09T19:20:03Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:20:18Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:20:18Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:20:18Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:20:34Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:20:34Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:20:34Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:20:50Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:20:50Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:20:50Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:21:05Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:21:05Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:21:05Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:21:21Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:21:21Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:21:21Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:21:37Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:21:37Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:21:37Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:21:52Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:21:52Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:21:52Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:22:08Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:22:08Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:22:08Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:22:24Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:22:24Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:22:24Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:22:40Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:22:40Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:22:40Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:22:55Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:22:55Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:22:55Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:23:11Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:23:11Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:23:11Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:23:26Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:23:26Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:23:26Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:23:42Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:23:42Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:23:42Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:23:58Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:23:58Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:23:58Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:24:14Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:24:14Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:24:14Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:24:29Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:24:29Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:24:29Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:24:45Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:24:45Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:24:45Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:25:01Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:25:01Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:25:01Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:25:16Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:25:16Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:25:16Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:25:32Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:25:32Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:25:32Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:25:48Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:25:48Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:25:48Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:26:03Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:26:03Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:26:03Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:26:19Z,dsllama-8b,0,1
