timestamp,serve_id,model,node,gpu_ids,state,source
2026-07-07T18:36:22Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,awake,pod_created
2026-07-07T18:36:23Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,pod_created
2026-07-07T18:36:23Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,pod_created
2026-07-07T18:36:24Z,dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-784d8db45f-wzc9f,dsqwen-14b,nscc-ds-4a100-node10,0-1,awake,pod_created
2026-07-07T18:36:24Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-3-9598d9955-4fnqv,dsqwen-7b,nscc-ds-4a100-node9,3,awake,pod_created
2026-07-07T18:36:25Z,dsqwen-14b-nscc-ds-4a100-node10-gpu-2-3-67d756bff7-82d52,dsqwen-14b,nscc-ds-4a100-node10,2-3,awake,pod_created
2026-07-07T18:40:32.354230324Z,dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-784d8db45f-wzc9f,dsqwen-14b,nscc-ds-4a100-node10,0-1,sleeping,vllm_sleep_complete
2026-07-07T18:40:40.868621022Z,dsqwen-14b-nscc-ds-4a100-node10-gpu-2-3-67d756bff7-82d52,dsqwen-14b,nscc-ds-4a100-node10,2-3,sleeping,vllm_sleep_complete
2026-07-07T18:40:51Z,dsllama-8b-nscc-ds-4a100-node9-gpu-0-5787b4856f-x29t9,dsllama-8b,nscc-ds-4a100-node9,0,awake,pod_created
2026-07-07T18:40:51Z,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,dsllama-8b,nscc-ds-4a100-node9,1,awake,pod_created
2026-07-07T18:40:52Z,dsllama-8b-nscc-ds-4a100-node9-gpu-2-86cb5b875f-pxh2s,dsllama-8b,nscc-ds-4a100-node9,2,awake,pod_created
2026-07-07T18:40:53Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,awake,pod_created
2026-07-07T18:42:27.905882606Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
2026-07-07T18:42:36.328360969Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-07T18:42:43.842212004Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-07T18:42:52.872956508Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-3-9598d9955-4fnqv,dsqwen-7b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
