trace,arm,start_ts,end_ts,request_count
t1,tre,2026-07-09T17:18:16.155000Z,2026-07-09T17:31:36.069000Z,24182
t2,tre,2026-07-09T17:32:52.165000Z,2026-07-09T17:51:32.016000Z,33365
t3,tre,2026-07-09T17:52:46.905000Z,2026-07-09T18:10:54.826000Z,29956
t4,tre,2026-07-09T18:12:10.864000Z,2026-07-09T18:24:30.555000Z,15048
t5,tre,2026-07-09T18:25:44.515000Z,2026-07-09T18:40:44.489000Z,31308
t6,tre,2026-07-09T18:41:58.972000Z,2026-07-09T18:56:23.913000Z,22974
t7,tre,2026-07-09T18:57:34.327000Z,2026-07-09T19:16:14.344000Z,42495
t1,apa,2026-07-09T19:18:18.250000Z,2026-07-09T19:31:38.145000Z,24182
t2,apa,2026-07-09T19:32:48.575000Z,2026-07-09T19:51:28.415000Z,33365
t3,apa,2026-07-09T19:52:40.391000Z,2026-07-09T20:10:48.291000Z,29956
t4,apa,2026-07-09T20:11:59.210000Z,2026-07-09T20:24:18.892000Z,15048
t5,apa,2026-07-09T20:25:26.762000Z,2026-07-09T20:40:26.738000Z,31308
t6,apa,2026-07-09T20:41:39.102000Z,2026-07-09T20:56:04.031000Z,22974
t7,apa,2026-07-09T20:57:13.386000Z,2026-07-09T21:15:53.446000Z,42495
