ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783794985.271,1783794985271,dsllama-8b,decode_tps,12.8,1634.1333333333334,10.0,106.83818181818182,1290.915,0.08276159299270813,3.6666666666666665,12.8,12.9,1,1,high,106.83818181818182,none
1783794985.271,1783794985271,dsqwen-14b,decode_tps,0.0,6536.533333333334,10.0,0.0,1020.235,nan,1.6666666666666667,0.0,0.0,1,1,healthy,nan,none
1783794985.271,1783794985271,dsqwen-7b,decode_tps,34.13333333333333,2218.6666666666665,10.0,391.74000000000007,993.4687597800112,0.3943153683934108,2.6666666666666665,34.13333333333333,34.4,1,1,high,391.74000000000007,none
1783794992.029,1783794992029,dsllama-8b,decode_tps,12.8,1634.1333333333334,10.0,106.83818181818182,1290.915,0.08276159299270813,3.6666666666666665,12.8,12.9,1,1,high,106.83818181818182,none
1783794992.029,1783794992029,dsqwen-14b,decode_tps,0.0,6536.533333333334,10.0,0.0,1020.235,nan,1.6666666666666667,0.0,0.0,1,1,healthy,nan,none
1783794992.029,1783794992029,dsqwen-7b,decode_tps,34.13333333333333,2218.6666666666665,10.0,391.74000000000007,993.4687597800112,0.3943153683934108,2.6666666666666665,34.13333333333333,34.4,1,1,high,391.74000000000007,none
1783794998.493,1783794998493,dsllama-8b,decode_tps,247.46666666666667,1634.1333333333334,6.603448275862069,407.5882408663847,1290.915,0.315735924415151,6.333333333333333,247.46666666666667,249.4,1,1,high,407.5882408663847,none
1783794998.493,1783794998493,dsqwen-14b,decode_tps,213.33333333333334,6536.533333333334,10.0,967.2678571428571,1020.235,0.9480833897512407,7.0,213.33333333333334,215.0,1,1,high,967.2678571428571,none
1783794998.493,1783794998493,dsqwen-7b,decode_tps,285.8666666666667,2218.6666666666665,7.761194029850746,665.0550278441499,993.4687597800112,0.6694272178134886,6.333333333333333,285.8666666666667,288.1,1,1,high,665.0550278441499,none
1783795005.553,1783795005553,dsllama-8b,decode_tps,473.6,1634.1333333333334,3.4504504504504503,703.5518003721274,1290.915,0.5450024210518334,10.333333333333334,473.6,477.3,1,1,high,703.5518003721274,none
1783795005.553,1783795005553,dsqwen-14b,decode_tps,516.2666666666667,6536.533333333334,10.0,1151.2022656202528,1020.235,1.1283697046467263,10.333333333333334,516.2666666666667,520.3,1,1,high,1151.2022656202528,none
1783795005.553,1783795005553,dsqwen-7b,decode_tps,614.4,2218.6666666666665,3.611111111111111,933.3021359697636,993.4687597800112,0.9394378301099569,12.0,614.4,619.2,1,1,high,933.3021359697636,none
1783795012.244,1783795012244,dsllama-8b,decode_tps,460.8,1634.1333333333334,3.5462962962962963,1104.995494070275,1290.915,0.8559785067725413,6.666666666666667,460.8,464.4,1,1,high,1104.995494070275,none
1783795012.244,1783795012244,dsqwen-14b,decode_tps,516.2666666666667,6536.533333333334,10.0,1361.4529890463964,1020.235,1.3344503854958871,8.666666666666666,516.2666666666667,520.3,1,1,high,1361.4529890463964,none
1783795012.244,1783795012244,dsqwen-7b,decode_tps,580.2666666666667,2218.6666666666665,3.8235294117647056,1208.951226760189,993.4687597800112,1.2168990870210084,9.333333333333334,580.2666666666667,584.8,1,1,high,1208.951226760189,none
1783795018.522,1783795018522,dsllama-8b,decode_tps,704.0,1634.1333333333334,2.3212121212121213,1407.7749751880247,1290.915,1.0905249185175048,9.666666666666666,704.0,709.5,1,1,high,1407.7749751880247,none
1783795018.522,1783795018522,dsqwen-14b,decode_tps,729.6,6536.533333333334,8.95906432748538,1487.1811539450155,1020.235,1.457684899993644,12.666666666666666,729.6,735.3,1,1,high,1487.1811539450155,none
1783795018.522,1783795018522,dsqwen-7b,decode_tps,887.4666666666667,2218.6666666666665,2.4999999999999996,1510.4466039286099,993.4687597800112,1.5203765483909888,11.666666666666666,887.4666666666667,894.4,1,1,high,1510.4466039286099,none
1783795025.217,1783795025217,dsllama-8b,decode_tps,712.5333333333333,1634.1333333333334,2.293413173652695,1554.6705697687128,1290.915,1.2043167596384834,11.333333333333334,712.5333333333333,718.1,1,1,high,1554.6705697687128,none
1783795025.217,1783795025217,dsqwen-14b,decode_tps,746.6666666666666,6536.533333333334,8.754285714285714,1658.958953846261,1020.235,1.626055716424413,11.333333333333334,746.6666666666666,752.5,1,1,high,1658.958953846261,none
