model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783791278744,162,False,51.982901990413666,15.521888481819724,2017.5801068544388,0
dsllama-8b,1,1783791283744,166,False,52.053093910217285,15.89579334643882,2065.8875331282616,0
dsllama-8b,1,1783791288744,164,False,51.72775685787201,15.89579334643882,2065.8875331282616,0
dsllama-8b,1,1783791293744,169,False,51.72775685787201,15.89579334643882,2065.8875331282616,0
dsllama-8b,1,1783791298744,175,False,54.21430617570877,15.89579334643882,2065.8875331282616,0
dsllama-8b,1,1783791303744,169,False,53.55752259492874,15.89579334643882,2065.8875331282616,0
dsllama-8b,1,1783791308744,163,False,53.53616178035736,15.89579334643882,2065.8875331282616,0
dsllama-8b,1,1783791313744,153,False,51.813140511512756,15.284576167271831,1980.1239222288132,0
dsllama-8b,1,1783791318744,166,False,51.31964385509491,15.556338382518197,2016.3957700133324,0
dsllama-8b,1,1783791323744,165,False,53.53616178035736,15.556338382518197,2016.3957700133324,0
dsllama-8b,1,1783791328744,166,False,51.25691741704941,15.765565528175024,2041.524514555931,0
dsllama-8b,1,1783791333744,171,False,50.67957192659378,15.830416085682517,2052.9799312353134,0
dsllama-8b,1,1783791338744,180,False,51.25691741704941,15.830416085682517,2052.9799312353134,0
dsllama-8b,1,1783791343744,174,False,51.25691741704941,15.830416085682517,2052.9799312353134,0
dsllama-8b,1,1783791348744,168,False,53.3883273601532,15.830416085682517,2052.9799312353134,0
dsllama-8b,1,1783791353744,173,False,53.3883273601532,15.869681232088194,2058.697037398815,0
dsllama-8b,1,1783791358744,166,False,52.41207033395767,15.840666383270204,2052.9799312353134,0
dsllama-8b,1,1783791363744,170,False,52.42649465799332,16.34568867720957,2114.6125346422195,0
dsllama-8b,1,1783791368744,205,False,56.97742849588394,17.769099865842055,2300.9135499596596,0
dsllama-8b,1,1783791373744,246,False,61.499565839767456,17.7619324659738,2300.8852005004883,0
dsllama-8b,1,1783791378744,259,False,64.71603363752365,17.7619324659738,2300.8852005004883,0
dsllama-8b,1,1783791383744,265,False,93.34196895360947,17.760378697256403,2300.472967326641,0
dsllama-8b,1,1783791388744,281,False,97.91072458028793,17.760378697256403,2300.472967326641,0
dsllama-8b,1,1783791393744,307,False,97.91072458028793,17.777691206594152,2309.960976243019,0
dsllama-8b,1,1783791398744,295,False,99.83295202255249,17.73167601016563,2307.8752383589745,0
