model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783799859082,162,False,49.653083086013794,15.521055952770503,2010.1823955774307,0
dsllama-8b,1,1783799864082,166,False,50.85813254117966,16.007594294904724,2070.3229159116745,0
dsllama-8b,1,1783799869082,164,False,51.55014246702194,16.007594294904724,2070.3229159116745,0
dsllama-8b,1,1783799874082,169,False,50.87175965309143,16.007594294904724,2070.3229159116745,0
dsllama-8b,1,1783799879082,175,False,52.601948380470276,16.007594294904724,2070.3229159116745,0
dsllama-8b,1,1783799884082,169,False,52.601948380470276,16.007594294904724,2070.3229159116745,0
dsllama-8b,1,1783799889082,163,False,52.138201892375946,16.007594294904724,2070.3229159116745,0
dsllama-8b,1,1783799894082,153,False,52.62468010187149,15.328581818914788,1990.9497424960136,0
dsllama-8b,1,1783799899082,166,False,51.75274610519409,15.610135094387324,2025.9661599993706,0
dsllama-8b,1,1783799904082,165,False,51.75274610519409,15.610135094387324,2025.9661599993706,0
dsllama-8b,1,1783799909082,166,False,50.19393563270569,15.690286387139418,2032.7130928635597,0
dsllama-8b,1,1783799914082,171,False,52.62468010187149,15.745204558053354,2042.592078447342,0
dsllama-8b,1,1783799919082,180,False,54.71517890691757,15.745204558053354,2042.592078447342,0
dsllama-8b,1,1783799924082,174,False,54.198868572711945,15.745204558053354,2042.592078447342,0
dsllama-8b,1,1783799929082,168,False,56.8179190158844,15.745204558053354,2039.4737049937248,0
dsllama-8b,1,1783799934082,173,False,57.39828944206238,15.775220893968747,2049.1705015301704,0
dsllama-8b,1,1783799939082,166,False,56.8179190158844,15.775220893968747,2049.3065118789673,0
dsllama-8b,1,1783799944082,170,False,54.198868572711945,16.389180942783206,2123.354807496071,0
dsllama-8b,1,1783799949082,170,False,52.73609608411789,16.389180942783206,2123.354807496071,0
dsllama-8b,1,1783799954082,186,False,53.92325669527054,16.381184240495127,2123.165972530842,0
dsllama-8b,1,1783799959082,177,False,53.92325669527054,16.389180942783206,2123.354807496071,0
dsllama-8b,1,1783799964082,178,False,55.291034281253815,16.389180942783206,2123.354807496071,0
dsllama-8b,1,1783799969082,177,False,55.291034281253815,16.389180942783206,2123.354807496071,0
dsllama-8b,1,1783799974082,168,False,56.092023849487305,15.91344283321711,2070.2514946460724,0
dsllama-8b,1,1783799979082,159,False,57.51757323741913,15.970015091689552,2070.993348956108,0
dsllama-8b,1,1783799984082,145,False,55.291034281253815,15.970015091689552,2070.993348956108,0
dsllama-8b,1,1783799989082,142,False,55.397965013980865,15.970015091689552,2070.993348956108,0
dsllama-8b,1,1783799994082,128,False,74.98134672641754,15.377546975931784,2025.9867832064629,0
dsllama-8b,1,1783799999082,144,False,79.87265288829803,15.889927803531407,2066.256456077099,0
dsllama-8b,1,1783800004082,140,False,82.26776123046875,15.912493265519931,2071.070857346058,0
dsllama-8b,1,1783800009082,149,False,79.87265288829803,15.889927803531407,2066.256456077099,0
dsllama-8b,1,1783800014082,151,False,79.87265288829803,15.889927803531407,2066.256456077099,0
dsllama-8b,1,1783800019082,164,False,77.91765034198761,15.842176739155777,2062.1806755661964,0
dsllama-8b,1,1783800024082,187,False,62.693409621715546,16.595544660185265,2147.8073596954346,0
dsllama-8b,1,1783800029082,173,False,56.01999908685684,16.598968289968536,2149.664506316185,0
dsllama-8b,1,1783800034082,178,False,56.01999908685684,16.598968289968536,2149.664506316185,0
dsllama-8b,1,1783800039082,177,False,54.670460522174835,16.598968289968536,2149.664506316185,0
dsllama-8b,1,1783800044082,185,False,53.45306545495987,16.595544660185265,2147.8073596954346,0
dsllama-8b,1,1783800049082,182,False,55.03062903881073,16.595544660185265,2147.8073596954346,0
dsllama-8b,1,1783800054082,158,False,55.144213140010834,15.42015919300515,2000.032164156437,0
dsllama-8b,1,1783800059082,159,False,56.067027151584625,15.42015919300515,2000.032164156437,0
dsllama-8b,1,1783800064082,161,False,54.71113324165344,15.314671291610388,1987.3364195227623,0
dsllama-8b,1,1783800069082,162,False,55.03062903881073,15.314671291610388,1987.3364195227623,0
dsllama-8b,1,1783800074082,160,False,55.144213140010834,15.316443063142732,1994.5029690861702,0
dsllama-8b,1,1783800079082,167,False,51.90536379814148,16.374007571400618,2118.1453987956047,0
dsllama-8b,1,1783800084082,183,False,52.597738802433014,16.365235422070572,2117.731958627701,0
dsllama-8b,1,1783800089082,182,False,51.90536379814148,16.365235422070572,2117.731958627701,0
dsllama-8b,1,1783800094082,179,False,52.7208149433136,16.374007571400618,2118.1453987956047,0
dsllama-8b,1,1783800099082,190,False,53.199514746665955,16.365235422070572,2117.731958627701,0
dsllama-8b,1,1783800104082,182,False,53.199514746665955,16.365235422070572,2117.731958627701,0
dsllama-8b,1,1783800109082,172,False,54.17449772357941,15.950813948169468,2067.9079219698906,0
dsllama-8b,1,1783800114082,161,False,52.7208149433136,15.950813948169468,2067.9079219698906,0
dsllama-8b,1,1783800119082,164,False,54.686591029167175,15.950813948169468,2067.9079219698906,0
dsllama-8b,1,1783800124082,170,False,54.686591029167175,15.950813948169468,2067.9079219698906,0
dsllama-8b,1,1783800129082,158,False,52.382342517375946,15.275619220076583,1983.3053648471832,0
dsllama-8b,1,1783800134082,164,False,52.382342517375946,15.282896501342142,1982.6854690909386,0
dsllama-8b,1,1783800139082,174,False,54.6712651848793,16.24470591310441,2107.520766556263,0
dsllama-8b,1,1783800144082,171,False,54.648078978061676,16.24470591310441,2107.520766556263,0
dsllama-8b,1,1783800149082,180,False,52.460648119449615,16.455725598053668,2138.4580582380295,0
dsllama-8b,1,1783800154082,174,False,52.75809019804001,16.476214753361198,2139.269210398197,0
dsllama-8b,1,1783800159082,177,False,54.648078978061676,16.476214753361198,2139.269210398197,0
dsllama-8b,1,1783800164082,184,False,54.648078978061676,16.455725598053668,2138.6799663305283,0
dsllama-8b,1,1783800169082,172,False,54.57080155611038,16.423743834176403,2139.269210398197,0
dsllama-8b,1,1783800174082,174,False,55.200450122356415,16.423743834176403,2139.269210398197,0
dsllama-8b,1,1783800179082,166,False,55.69639056921005,16.296910078037442,2113.953173160553,0
dsllama-8b,1,1783800184082,172,False,57.08782374858856,15.689775230377679,2039.9867370724678,0
dsllama-8b,1,1783800189082,167,False,58.60888212919235,15.689775230377679,2039.9867370724678,0
dsllama-8b,1,1783800194082,156,False,67.92023032903671,15.786171487466557,2067.6844865083694,0
dsllama-8b,1,1783800199082,160,False,83.69038999080658,15.786171487466557,2067.6844865083694,0
dsllama-8b,1,1783800204082,164,False,88.58120441436768,15.784825455016039,2067.3530846834183,0
dsllama-8b,1,1783800209082,156,False,90.59054404497147,15.786171487466557,2067.6844865083694,0
dsllama-8b,1,1783800214082,152,False,90.59054404497147,15.402595123906774,2026.3144299387932,0
dsllama-8b,1,1783800219082,154,False,91.90397709608078,15.402595123906774,2026.3144299387932,0
dsllama-8b,1,1783800224082,162,False,92.15931594371796,15.52675899088852,2038.3281111717224,0
dsllama-8b,1,1783800229082,160,False,92.15931594371796,15.535495823293221,2042.4364432692528,0
dsllama-8b,1,1783800234082,158,False,96.17936611175537,15.585068642623781,2043.4804484248161,0
dsllama-8b,1,1783800239082,172,False,105.8289185166359,15.585068642623781,2047.3349913954735,0
dsllama-8b,1,1783800244082,171,False,105.8289185166359,15.585068642623781,2047.3349913954735,0
dsllama-8b,1,1783800249082,175,False,105.8289185166359,15.585068642623781,2047.3349913954735,0
dsllama-8b,1,1783800254082,170,False,105.8289185166359,15.428828031528653,2030.6713730096817,0
dsllama-8b,1,1783800259082,170,False,105.66602647304535,15.481049972256338,2030.6713730096817,0
dsllama-8b,1,1783800264082,173,False,105.17929494380951,15.421259649625913,2023.3100056648254,0
dsllama-8b,1,1783800269082,169,False,102.50755399465561,15.481049972256338,2037.1344238519669,0
dsllama-8b,1,1783800274082,168,False,103.36484760046005,15.481049972256338,2037.1344238519669,0
dsllama-8b,1,1783800279082,168,False,105.09593039751053,15.445916084792671,2037.2617989778519,0
dsllama-8b,1,1783800284082,168,False,109.00671035051346,15.499725468515411,2046.2465286254883,0
dsllama-8b,1,1783800289082,167,False,109.57405716180801,15.53559221151307,2049.1185560822487,0
dsllama-8b,1,1783800294082,166,False,109.00671035051346,15.549574663319925,2053.7967532873154,0
dsllama-8b,1,1783800299082,168,False,117.31726676225662,15.833051303240257,2098.2378721237183,0
dsllama-8b,1,1783800304082,176,False,116.47669225931168,15.833051303240257,2098.2378721237183,0
dsllama-8b,1,1783800309082,178,False,116.47669225931168,15.833051303240257,2098.2378721237183,0
dsllama-8b,1,1783800314082,181,False,108.99098217487335,15.827731647360043,2090.732030570507,0
dsllama-8b,1,1783800319082,178,False,105.4372563958168,15.833051303240257,2098.151683807373,0
dsllama-8b,1,1783800324082,173,False,100.1710444688797,15.81660933851257,2098.151683807373,0
dsllama-8b,1,1783800329082,167,False,58.336660265922546,15.658628459521166,2032.7591076493263,0
dsllama-8b,1,1783800334082,161,False,51.29961669445038,15.658628459521166,2026.2142047286034,0
dsllama-8b,1,1783800339082,152,False,51.628053188323975,15.671504998770287,2032.7591076493263,0
dsllama-8b,1,1783800344082,145,False,53.161561489105225,15.223819029143476,1974.253349006176,0
dsllama-8b,1,1783800349082,153,False,54.3198436498642,15.8419190781323,2053.396500647068,0
