ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783796853.231,1783796853231,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783796853.231,1783796853231,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783796853.231,1783796853231,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783796859.495,1783796859495,dsllama-8b,zm,652.9,1290.915,0.5057652905109942,652.9,1290.915,0.5057652905109942,3.0,64.0,64.5,1,1,crit,652.9,none
1783796859.495,1783796859495,dsqwen-14b,zm,1543.7595,1020.235,1.5131410900429803,1543.7595,1020.235,1.5131410900429803,1.6666666666666667,81.06666666666666,81.7,1,1,high,1543.7595,none
1783796859.495,1783796859495,dsqwen-7b,zm,734.5125,993.4687597800112,0.7393413157376452,734.5125,993.4687597800112,0.7393413157376452,2.6666666666666665,64.0,64.5,1,1,crit,734.5125,none
1783796866.151,1783796866151,dsllama-8b,zm,777.658316140918,1290.915,0.602408614154238,777.658316140918,1290.915,0.602408614154238,8.0,285.8666666666667,288.1,1,1,crit,777.658316140918,none
1783796866.151,1783796866151,dsqwen-14b,zm,1493.5756863543622,1020.235,1.4639526053844087,1493.5756863543622,1020.235,1.4639526053844087,7.333333333333333,315.73333333333335,318.2,1,1,high,1493.5756863543622,none
1783796866.151,1783796866151,dsqwen-7b,zm,1018.6842200987576,993.4687597800112,1.0253812312370345,1018.6842200987576,993.4687597800112,1.0253812312370345,5.333333333333333,302.93333333333334,305.3,1,1,healthy,1018.6842200987576,none
1783796872.481,1783796872481,dsllama-8b,zm,863.3769058155019,1290.915,0.6688100345998783,863.3769058155019,1290.915,0.6688100345998783,8.0,285.8666666666667,288.1,1,1,crit,863.3769058155019,none
1783796872.481,1783796872481,dsqwen-14b,zm,1459.095534142807,1020.235,1.4301563209876225,1459.095534142807,1020.235,1.4301563209876225,7.333333333333333,315.73333333333335,318.2,1,1,high,1459.095534142807,none
1783796872.481,1783796872481,dsqwen-7b,zm,1213.9321188019762,993.4687597800112,1.2219127243324526,1213.9321188019762,993.4687597800112,1.2219127243324526,5.333333333333333,302.93333333333334,305.3,1,1,healthy,1213.9321188019762,none
1783796878.914,1783796878914,dsllama-8b,zm,1040.060590199512,1290.915,0.8056770509286143,1040.060590199512,1290.915,0.8056770509286143,10.666666666666666,524.8,528.9,1,1,healthy,1040.060590199512,none
1783796878.914,1783796878914,dsqwen-14b,zm,1553.615802907545,1020.235,1.5228019063328988,1553.615802907545,1020.235,1.5228019063328988,10.666666666666666,605.8666666666667,610.6,1,1,high,1553.615802907545,none
1783796878.914,1783796878914,dsqwen-7b,zm,1380.2979282951965,993.4687597800112,1.3893722522294942,1380.2979282951965,993.4687597800112,1.3893722522294942,9.333333333333334,554.6666666666666,559.0,1,1,high,1380.2979282951965,none
1783796885.585,1783796885585,dsllama-8b,zm,1348.7549967424104,1290.915,1.0448054261840714,1348.7549967424104,1290.915,1.0448054261840714,10.0,695.4666666666667,700.9,1,1,healthy,1348.7549967424104,none
1783796885.585,1783796885585,dsqwen-14b,zm,1621.6402649993506,1020.235,1.5894771939791819,1621.6402649993506,1020.235,1.5894771939791819,13.666666666666666,772.2666666666667,778.3,1,1,high,1621.6402649993506,none
1783796885.585,1783796885585,dsqwen-7b,zm,1696.604106225696,993.4687597800112,1.7077578831984446,1696.604106225696,993.4687597800112,1.7077578831984446,9.0,733.8666666666667,739.6,1,1,high,1696.604106225696,none
1783796891.991,1783796891991,dsllama-8b,zm,1773.5947611511722,1290.915,1.3739051456921425,1773.5947611511722,1290.915,1.3739051456921425,5.0,473.6,477.3,1,1,high,1773.5947611511722,none
1783796891.991,1783796891991,dsqwen-14b,zm,1761.7402103942559,1020.235,1.7267984438822976,1761.7402103942559,1020.235,1.7267984438822976,8.0,537.6,541.8,1,1,high,1761.7402103942559,none
1783796891.991,1783796891991,dsqwen-7b,zm,1887.101550965632,993.4687597800112,1.8995076920018124,1887.101550965632,993.4687597800112,1.8995076920018124,6.333333333333333,494.93333333333334,498.8,1,1,high,1887.101550965632,none
1783796899.013,1783796899013,dsllama-8b,zm,2115.8529018353115,1290.915,1.639033477676928,2115.8529018353115,1290.915,1.639033477676928,7.666666666666667,733.8666666666667,739.6,1,1,high,2115.8529018353115,none
1783796899.013,1783796899013,dsqwen-14b,zm,1851.2950737000917,1020.235,1.8145771059609714,1851.2950737000917,1020.235,1.8145771059609714,12.333333333333334,802.1333333333333,808.4,1,1,high,1851.2950737000917,none
1783796899.013,1783796899013,dsqwen-7b,zm,2111.2816115453447,993.4687597800112,2.1251615521487124,2111.2816115453447,993.4687597800112,2.1251615521487124,9.333333333333334,806.4,812.7,1,1,high,2111.2816115453447,none
1783796905.465,1783796905465,dsllama-8b,zm,2247.009136515427,1290.915,1.7406329127134066,2247.009136515427,1290.915,1.7406329127134066,8.666666666666666,733.8666666666667,739.6,1,1,high,2247.009136515427,none
1783796905.465,1783796905465,dsqwen-14b,zm,1866.4513872361563,1020.235,1.8294328142400096,1866.4513872361563,1020.235,1.8294328142400096,13.0,780.8,786.9,1,1,high,1866.4513872361563,none
1783796905.465,1783796905465,dsqwen-7b,zm,2224.0336815939972,993.4687597800112,2.238654874348013,2224.0336815939972,993.4687597800112,2.238654874348013,10.0,823.4666666666667,829.9,1,1,high,2224.0336815939972,none
1783796912.298,1783796912298,dsllama-8b,zm,2294.843001943366,1290.915,1.7776871458952495,2294.843001943366,1290.915,1.7776871458952495,6.333333333333333,499.2,503.1,1,1,high,2294.843001943366,none
1783796912.298,1783796912298,dsqwen-14b,zm,1914.148239113183,1020.235,1.8761836626984794,1914.148239113183,1020.235,1.8761836626984794,8.333333333333334,533.3333333333334,537.5,1,1,high,1914.148239113183,none
1783796912.298,1783796912298,dsqwen-7b,zm,2250.7577369014452,993.4687597800112,2.265554618345364,2250.7577369014452,993.4687597800112,2.265554618345364,7.666666666666667,580.2666666666667,584.8,1,1,high,2250.7577369014452,none
1783796918.882,1783796918882,dsllama-8b,zm,2314.507766149121,1290.915,1.792920344212532,2314.507766149121,1290.915,1.792920344212532,9.0,695.4666666666667,700.9,1,1,high,2314.507766149121,none
1783796918.882,1783796918882,dsqwen-14b,zm,1917.0109494380372,1020.235,1.8789895949835451,1917.0109494380372,1020.235,1.8789895949835451,12.666666666666666,768.0,774.0,1,1,high,1917.0109494380372,none
1783796918.882,1783796918882,dsqwen-7b,zm,2306.189556555043,993.4687597800112,2.3213508566346004,2306.189556555043,993.4687597800112,2.3213508566346004,10.666666666666666,853.3333333333334,860.0,1,1,high,2306.189556555043,none
