ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783802961.528,1783802961528,dsllama-8b,queue_len,0.0,46.333333333333336,10.0,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783802961.528,1783802961528,dsqwen-14b,queue_len,0.0,191.66666666666666,10.0,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783802961.528,1783802961528,dsqwen-7b,queue_len,0.0,78.33333333333333,10.0,0.0,993.4687597800112,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783802968.233,1783802968233,dsllama-8b,queue_len,2.3333333333333335,46.333333333333336,10.0,1343.1085714285714,1290.915,1.0404314547654736,2.3333333333333335,102.4,103.2,1,1,high,1343.1085714285714,none
1783802968.233,1783802968233,dsqwen-14b,queue_len,4.333333333333333,191.66666666666666,10.0,750.0046153846155,1020.235,0.7351292745148084,4.333333333333333,102.4,103.2,1,1,high,750.0046153846155,none
1783802968.233,1783802968233,dsqwen-7b,queue_len,6.333333333333333,78.33333333333333,10.0,494.82947368421054,993.4687597800112,0.49808257060220307,6.333333333333333,102.4,103.2,1,1,high,494.82947368421054,none
1783802974.669,1783802974669,dsllama-8b,queue_len,6.333333333333333,46.333333333333336,7.3157894736842115,1421.722291872527,1290.915,1.101329128465102,6.333333333333333,337.06666666666666,339.7,1,1,high,1421.722291872527,none
1783802974.669,1783802974669,dsqwen-14b,queue_len,10.0,191.66666666666666,10.0,864.080763745452,1020.235,0.8469428746763755,10.0,366.93333333333334,369.8,1,1,high,864.080763745452,none
1783802974.669,1783802974669,dsqwen-7b,queue_len,6.333333333333333,78.33333333333333,10.0,494.82947368421054,993.4687597800112,0.49808257060220307,6.333333333333333,102.4,103.2,1,1,high,494.82947368421054,none
1783802981.374,1783802981374,dsllama-8b,queue_len,6.333333333333333,46.333333333333336,7.3157894736842115,1480.7103543764479,1290.915,1.1470238972949016,6.333333333333333,337.06666666666666,339.7,1,1,high,1480.7103543764479,none
1783802981.374,1783802981374,dsqwen-14b,queue_len,10.0,191.66666666666666,10.0,949.6781751351452,1020.235,0.9308425756175246,10.0,366.93333333333334,369.8,1,1,high,949.6781751351452,none
1783802981.374,1783802981374,dsqwen-7b,queue_len,10.0,78.33333333333333,7.833333333333333,718.3880066204247,993.4687597800112,0.7231108170723969,10.0,418.1333333333333,421.4,1,1,high,718.3880066204247,none
1783802987.935,1783802987935,dsllama-8b,queue_len,9.666666666666666,46.333333333333336,4.793103448275863,1553.9447513313696,1290.915,1.2037545084930996,9.666666666666666,550.4,554.7,1,1,high,1553.9447513313696,none
1783802987.935,1783802987935,dsqwen-14b,queue_len,13.666666666666666,191.66666666666666,10.0,1094.2115760312388,1020.235,1.0725093493471982,13.666666666666666,631.4666666666667,636.4,1,1,high,1094.2115760312388,none
1783802987.935,1783802987935,dsqwen-7b,queue_len,12.333333333333334,78.33333333333333,6.351351351351351,997.1654742585166,993.4687597800112,1.0037210173365936,12.333333333333334,691.2,696.6,1,1,high,997.1654742585166,none
1783802994.674,1783802994674,dsllama-8b,queue_len,11.0,46.333333333333336,4.212121212121212,1649.3527712680138,1290.915,1.2776617912627972,11.0,678.4,683.7,1,1,high,1649.3527712680138,none
1783802994.674,1783802994674,dsqwen-14b,queue_len,12.666666666666666,191.66666666666666,10.0,1383.6673555788332,1020.235,1.3562241597071587,12.666666666666666,840.5333333333333,847.1,1,1,high,1383.6673555788332,none
1783802994.674,1783802994674,dsqwen-7b,queue_len,6.0,78.33333333333333,10.0,1571.0426586087801,993.4687597800112,1.5813709723058267,6.0,588.8,593.4,1,1,high,1571.0426586087801,none
1783803001.196,1783803001196,dsllama-8b,queue_len,7.0,46.333333333333336,6.6190476190476195,1730.2430213840844,1290.915,1.3403229657909967,7.0,443.73333333333335,447.2,1,1,high,1730.2430213840844,none
1783803001.196,1783803001196,dsqwen-14b,queue_len,7.0,191.66666666666666,10.0,1725.3669355932188,1020.235,1.6911465844567368,7.0,576.0,580.5,1,1,high,1725.3669355932188,none
1783803001.196,1783803001196,dsqwen-7b,queue_len,6.0,78.33333333333333,10.0,1890.8755036154503,993.4687597800112,1.9033064552871863,6.0,533.3333333333334,537.5,1,1,high,1890.8755036154503,none
1783803008.01,1783803008010,dsllama-8b,queue_len,11.0,46.333333333333336,4.212121212121212,1799.6323497702115,1290.915,1.3940750163800184,11.0,708.2666666666667,713.8,1,1,high,1799.6323497702115,none
1783803008.01,1783803008010,dsqwen-14b,queue_len,10.666666666666666,191.66666666666666,10.0,1897.9942350502943,1020.235,1.8603500517530709,10.666666666666666,780.8,786.9,1,1,high,1897.9942350502943,none
1783803008.01,1783803008010,dsqwen-7b,queue_len,9.0,78.33333333333333,8.703703703703702,2098.9686601473354,993.4687597800112,2.1127676532195343,9.0,768.0,774.0,1,1,high,2098.9686601473354,none
1783803014.825,1783803014825,dsllama-8b,queue_len,12.333333333333334,46.333333333333336,3.7567567567567566,1811.934939132569,1290.915,1.4036051476143427,12.333333333333334,742.4,748.2,1,1,high,1811.934939132569,none
1783803014.825,1783803014825,dsqwen-14b,queue_len,11.666666666666666,191.66666666666666,10.0,1949.8841698967158,1020.235,1.9112108189747614,11.666666666666666,763.7333333333333,769.7,1,1,high,1949.8841698967158,none
1783803014.825,1783803014825,dsqwen-7b,queue_len,10.333333333333334,78.33333333333333,7.580645161290322,1916.1517878079305,993.4687597800112,1.9287489102649125,10.333333333333334,494.93333333333334,498.8,1,1,high,1916.1517878079305,none
1783803021.496,1783803021496,dsllama-8b,queue_len,8.666666666666666,46.333333333333336,5.346153846153847,1810.8276231565383,1290.915,1.40274737155935,8.666666666666666,512.0,516.0,1,1,high,1810.8276231565383,none
1783803021.496,1783803021496,dsqwen-14b,queue_len,8.333333333333334,191.66666666666666,10.0,1885.3955864573204,1020.235,1.8480012805454826,8.333333333333334,452.26666666666665,455.8,1,1,high,1885.3955864573204,none
1783803021.496,1783803021496,dsqwen-7b,queue_len,6.666666666666667,78.33333333333333,10.0,1989.328237743625,993.4687597800112,2.002406435189902,6.666666666666667,473.6,477.3,1,1,high,1989.328237743625,none
