ts,model,action,serve_id
2026-07-12T00:58:15.500250Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-0-5f474d7f85-7mns7
2026-07-12T00:58:16.500470Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-1-56b6bfcfdd-npqs2
2026-07-12T00:58:18.000756Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-2-55484bc5d7-kvtvr
2026-07-12T00:58:19.501111Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-3-77966677f4-95m45
2026-07-12T01:00:31.029392Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-0-5f474d7f85-7mns7
2026-07-12T01:00:31.029392Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-1-56b6bfcfdd-npqs2
2026-07-12T01:00:31.029392Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-2-55484bc5d7-kvtvr
2026-07-12T01:00:31.029392Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-3-77966677f4-95m45
2026-07-12T01:05:55.593591Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-0-5f474d7f85-7mns7
2026-07-12T01:05:57.093919Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-1-56b6bfcfdd-npqs2
2026-07-12T01:05:58.594241Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-2-55484bc5d7-kvtvr
2026-07-12T01:06:00.594671Z,dsllama-8b,wake,dsllama-8b-nscc-ds-4a100-node10-gpu-3-77966677f4-95m45
2026-07-12T01:08:11.123663Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-0-5f474d7f85-7mns7
2026-07-12T01:08:11.123663Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-1-56b6bfcfdd-npqs2
2026-07-12T01:08:11.123663Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-2-55484bc5d7-kvtvr
2026-07-12T01:08:11.123663Z,dsllama-8b,sleep,dsllama-8b-nscc-ds-4a100-node10-gpu-3-77966677f4-95m45
