ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783819295.988,1783819295988,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,3.0,0.0,0.0,1,1,healthy,nan,none
1783819295.988,1783819295988,dsqwen-14b,zm,209.9325,1020.235,0.20576876896009252,209.9325,1020.235,0.20576876896009252,0.6666666666666666,3.8333333333333335,55.03333333333333,1,1,healthy,209.9325,none
1783819295.988,1783819295988,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,4.0,0.0,0.0,1,1,healthy,nan,none
1783819302.432,1783819302432,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,3.0,0.0,0.0,1,1,healthy,nan,none
1783819302.432,1783819302432,dsqwen-14b,zm,209.9325,1020.235,0.20576876896009252,209.9325,1020.235,0.20576876896009252,0.6666666666666666,3.8333333333333335,55.03333333333333,1,1,healthy,209.9325,none
1783819302.432,1783819302432,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,4.0,0.0,0.0,1,1,healthy,nan,none
1783819308.99,1783819308990,dsllama-8b,zm,407.13818181818186,1290.915,0.3153872887201573,407.13818181818186,1290.915,0.3153872887201573,11.0,116.6,1634.2,1,1,crit,407.13818181818186,none
1783819308.99,1783819308990,dsqwen-14b,zm,658.2767356596979,1020.235,0.6452206948984283,658.2767356596979,1020.235,0.6452206948984283,2.0,66.66666666666667,943.3666666666667,1,1,crit,658.2767356596979,none
1783819308.99,1783819308990,dsqwen-7b,zm,871.4117647058823,993.4687597800112,0.8771405805441164,871.4117647058823,993.4687597800112,0.8771405805441164,5.666666666666667,128.6,1800.0,1,1,healthy,871.4117647058823,none
1783819315.406,1783819315406,dsllama-8b,zm,486.7409837763348,1290.915,0.3770511488179584,486.7409837763348,1290.915,0.3770511488179584,16.666666666666668,302.6,4236.733333333334,1,1,crit,486.7409837763348,none
1783819315.406,1783819315406,dsqwen-14b,zm,1166.076968744323,1020.235,1.1429493878805599,1166.076968744323,1020.235,1.1429493878805599,3.3333333333333335,154.0,2169.366666666667,1,1,healthy,1166.076968744323,none
1783819315.406,1783819315406,dsqwen-7b,zm,937.0133219063562,993.4687597800112,0.9431734140425753,937.0133219063562,993.4687597800112,0.9431734140425753,8.666666666666666,250.53333333333333,3513.266666666667,1,1,healthy,937.0133219063562,none
1783819321.818,1783819321818,dsllama-8b,zm,586.44573774226,1290.915,0.45428687229001136,586.44573774226,1290.915,0.45428687229001136,13.666666666666666,302.6,4236.733333333334,1,1,crit,586.44573774226,none
1783819321.818,1783819321818,dsqwen-14b,zm,1684.7548126543622,1020.235,1.6513399487905847,1684.7548126543622,1020.235,1.6513399487905847,2.6666666666666665,150.16666666666666,2114.3333333333335,1,1,high,1684.7548126543622,none
1783819321.818,1783819321818,dsqwen-7b,zm,1245.6580213136376,993.4687597800112,1.2538471985666364,1245.6580213136376,993.4687597800112,1.2538471985666364,4.666666666666667,250.53333333333333,3513.266666666667,1,1,high,1245.6580213136376,none
1783819328.565,1783819328565,dsllama-8b,zm,725.6201302928594,1290.915,0.5620975279494462,725.6201302928594,1290.915,0.5620975279494462,16.0,447.0,6249.733333333334,1,1,crit,725.6201302928594,none
1783819328.565,1783819328565,dsqwen-14b,zm,2174.7451381854917,1020.235,2.131611969973086,2174.7451381854917,1020.235,2.131611969973086,4.0,249.86666666666667,3529.2,1,1,high,2174.7451381854917,none
1783819328.565,1783819328565,dsqwen-7b,zm,1517.8099448766864,993.4687597800112,1.5277882972513224,1517.8099448766864,993.4687597800112,1.5277882972513224,6.666666666666667,380.8333333333333,5359.5,1,1,high,1517.8099448766864,none
1783819335.245,1783819335245,dsllama-8b,zm,950.686898842157,1290.915,0.7364442266471124,950.686898842157,1290.915,0.7364442266471124,11.666666666666666,461.3666666666667,6453.366666666667,1,1,crit,950.686898842157,none
1783819335.245,1783819335245,dsqwen-14b,zm,2758.1122806962876,1020.235,2.7034088035563255,2758.1122806962876,1020.235,2.7034088035563255,3.6666666666666665,284.76666666666665,4037.233333333333,1,1,high,2758.1122806962876,none
1783819335.245,1783819335245,dsqwen-7b,zm,1701.3116234954982,993.4687597800112,1.7124963485235594,1701.3116234954982,993.4687597800112,1.7124963485235594,6.666666666666667,375.23333333333335,5283.5,1,1,high,1701.3116234954982,none
1783819341.929,1783819341929,dsllama-8b,zm,1181.1486883724192,1290.915,0.9149701478195073,1181.1486883724192,1290.915,0.9149701478195073,6.0,275.3666666666667,3850.8333333333335,1,1,healthy,1181.1486883724192,none
1783819341.929,1783819341929,dsqwen-14b,zm,3286.126812956508,1020.235,3.2209508720603663,3286.126812956508,1020.235,3.2209508720603663,2.3333333333333335,197.43333333333334,2811.233333333333,1,1,high,3286.126812956508,none
1783819341.929,1783819341929,dsqwen-7b,zm,1972.7201163519533,993.4687597800112,1.9856891290560386,1972.7201163519533,993.4687597800112,1.9856891290560386,3.6666666666666665,253.3,3570.233333333333,1,1,high,1972.7201163519533,none
1783819348.484,1783819348484,dsllama-8b,zm,1285.3775236969127,1290.915,0.9957104253160841,1285.3775236969127,1290.915,0.9957104253160841,10.0,404.7,5666.966666666666,1,1,healthy,1285.3775236969127,none
1783819348.484,1783819348484,dsqwen-14b,zm,3729.9154551876527,1020.235,3.655937558687609,3729.9154551876527,1020.235,3.655937558687609,3.0,268.53333333333336,3806.6666666666665,1,1,high,3729.9154551876527,none
1783819348.484,1783819348484,dsqwen-7b,zm,2006.6486626054275,993.4687597800112,2.019840727603523,2006.6486626054275,993.4687597800112,2.019840727603523,6.666666666666667,363.3666666666667,5099.766666666666,1,1,high,2006.6486626054275,none
1783819354.869,1783819354869,dsllama-8b,zm,1324.2678431441082,1290.915,1.0258365912117438,1324.2678431441082,1290.915,1.0258365912117438,12.0,446.6666666666667,6220.133333333333,1,1,healthy,1324.2678431441082,none
1783819354.869,1783819354869,dsqwen-14b,zm,3691.7175512467693,1020.235,3.618497259206721,3691.7175512467693,1020.235,3.618497259206721,4.0,264.56666666666666,3723.8333333333335,1,1,high,3691.7175512467693,none
1783819354.869,1783819354869,dsqwen-7b,zm,1791.5578359188535,993.4687597800112,1.8033358555890244,1791.5578359188535,993.4687597800112,1.8033358555890244,7.333333333333333,233.06666666666666,3253.5333333333333,1,1,high,1791.5578359188535,none
1783819361.604,1783819361604,dsllama-8b,zm,1360.8011215691831,1290.915,1.0541368886171305,1360.8011215691831,1290.915,1.0541368886171305,8.333333333333334,315.7,4382.3,1,1,healthy,1360.8011215691831,none
1783819361.604,1783819361604,dsqwen-14b,zm,3495.8413937002483,1020.235,3.4265060439018935,3495.8413937002483,1020.235,3.4265060439018935,3.0,166.83333333333334,2327.4666666666667,1,1,high,3495.8413937002483,none
1783819361.604,1783819361604,dsqwen-7b,zm,1802.0141124703905,993.4687597800112,1.8138608735612578,1802.0141124703905,993.4687597800112,1.8138608735612578,5.666666666666667,270.3666666666667,3747.3333333333335,1,1,high,1802.0141124703905,none
1783819367.963,1783819367963,dsllama-8b,zm,1331.3311208747114,1290.915,1.0313081193376104,1331.3311208747114,1290.915,1.0313081193376104,14.333333333333334,468.3333333333333,6506.533333333334,1,1,healthy,1331.3311208747114,none
1783819367.963,1783819367963,dsqwen-14b,zm,3180.378441293017,1020.235,3.117299878256497,3180.378441293017,1020.235,3.117299878256497,5.666666666666667,245.5,3409.4666666666667,1,1,high,3180.378441293017,none
1783819367.963,1783819367963,dsqwen-7b,zm,1799.1953651304736,993.4687597800112,1.8110235952752844,1799.1953651304736,993.4687597800112,1.8110235952752844,8.333333333333334,389.43333333333334,5412.566666666667,1,1,high,1799.1953651304736,none
1783819374.509,1783819374509,dsllama-8b,zm,1245.844114081653,1290.915,0.9650860932607128,1245.844114081653,1290.915,0.9650860932607128,12.666666666666666,339.0,4690.4,1,1,healthy,1245.844114081653,none
1783819374.509,1783819374509,dsqwen-14b,zm,2857.9975831645397,1020.235,2.801313014319779,2857.9975831645397,1020.235,2.801313014319779,8.666666666666666,325.3,4518.733333333334,1,1,high,2857.9975831645397,none
1783819374.509,1783819374509,dsqwen-7b,zm,1857.5573434387193,993.4687597800112,1.8697692556030123,1857.5573434387193,993.4687597800112,1.8697692556030123,5.333333333333333,279.3666666666667,3883.0333333333333,1,1,high,1857.5573434387193,none
1783819381.058,1783819381058,dsllama-8b,zm,1364.5240483909283,1290.915,1.057020832813104,1364.5240483909283,1290.915,1.057020832813104,8.333333333333334,362.96666666666664,5057.966666666666,1,1,healthy,1364.5240483909283,none
1783819381.058,1783819381058,dsqwen-14b,zm,2605.949344888793,1020.235,2.5542638165606872,2605.949344888793,1020.235,2.5542638165606872,6.333333333333333,229.56666666666666,3186.7,1,1,high,2605.949344888793,none
1783819381.058,1783819381058,dsqwen-7b,zm,1629.7851925954042,993.4687597800112,1.640499690152608,1629.7851925954042,993.4687597800112,1.640499690152608,9.0,244.1,3423.1,1,1,high,1629.7851925954042,none
1783819387.606,1783819387606,dsllama-8b,zm,1296.5856587057547,1290.915,1.0043927436785185,1296.5856587057547,1290.915,1.0043927436785185,15.666666666666666,457.43333333333334,6404.0,1,1,healthy,1296.5856587057547,none
1783819387.606,1783819387606,dsqwen-14b,zm,2568.036706564497,1020.235,2.517103124833491,2568.036706564497,1020.235,2.517103124833491,8.666666666666666,395.7,5528.733333333334,1,1,high,2568.036706564497,none
1783819387.606,1783819387606,dsqwen-7b,zm,1549.1623312161657,993.4687597800112,1.5593467997516144,1549.1623312161657,993.4687597800112,1.5593467997516144,13.0,453.06666666666666,6402.233333333334,1,1,high,1549.1623312161657,none
1783819394.311,1783819394311,dsllama-8b,zm,1030.4409710624834,1290.915,0.7982252673975307,1030.4409710624834,1290.915,0.7982252673975307,32.333333333333336,304.8,4279.766666666666,1,2,crit,1030.4409710624834,scale_up
1783819394.311,1783819394311,dsqwen-14b,zm,2676.976678346548,1020.235,2.623882417625888,2676.976678346548,1020.235,2.623882417625888,8.666666666666666,469.8333333333333,6652.733333333334,1,1,high,2676.976678346548,none
1783819394.311,1783819394311,dsqwen-7b,zm,1462.4473293782057,993.4687597800112,1.47206171807762,1462.4473293782057,993.4687597800112,1.47206171807762,10.333333333333334,334.0,4737.0,1,1,high,1462.4473293782057,none
1783819400.903,1783819400903,dsllama-8b,zm,804.4432820441714,1290.915,0.6231574364262337,804.4432820441714,1290.915,0.6231574364262337,30.0,175.33333333333334,2512.0,1,2,crit,804.4432820441714,scale_up
1783819400.903,1783819400903,dsqwen-14b,zm,2903.206631213625,1020.235,2.8456254012199396,2903.206631213625,1020.235,2.8456254012199396,5.0,318.93333333333334,4548.033333333334,1,1,high,2903.206631213625,none
