ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783670872.063,1783670872063,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670872.063,1783670872063,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670872.063,1783670872063,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,2,1,healthy,nan,scale_down
1783670878.314,1783670878314,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670878.314,1783670878314,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670878.314,1783670878314,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,2,1,healthy,nan,scale_down
1783670884.848,1783670884848,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670884.848,1783670884848,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670884.848,1783670884848,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670891.208,1783670891208,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670891.208,1783670891208,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670891.208,1783670891208,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670897.453,1783670897453,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670897.453,1783670897453,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670897.453,1783670897453,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670904.044,1783670904044,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670904.044,1783670904044,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670904.044,1783670904044,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670910.303,1783670910303,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670910.303,1783670910303,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670910.303,1783670910303,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670917.509,1783670917509,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670917.509,1783670917509,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670917.509,1783670917509,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670924.214,1783670924214,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670924.214,1783670924214,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670924.214,1783670924214,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670930.843,1783670930843,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670930.843,1783670930843,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670930.843,1783670930843,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670937.288,1783670937288,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670937.288,1783670937288,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670937.288,1783670937288,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670943.773,1783670943773,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670943.773,1783670943773,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670943.773,1783670943773,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670950.19,1783670950190,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670950.19,1783670950190,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670950.19,1783670950190,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670956.842,1783670956842,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670956.842,1783670956842,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670956.842,1783670956842,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670963.245,1783670963245,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670963.245,1783670963245,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670963.245,1783670963245,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670969.722,1783670969722,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670969.722,1783670969722,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670969.722,1783670969722,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670977.263,1783670977263,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670977.263,1783670977263,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670977.263,1783670977263,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670983.853,1783670983853,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670983.853,1783670983853,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670983.853,1783670983853,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670990.447,1783670990447,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670990.447,1783670990447,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670990.447,1783670990447,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670996.895,1783670996895,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670996.895,1783670996895,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783670996.895,1783670996895,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671003.555,1783671003555,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671003.555,1783671003555,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671003.555,1783671003555,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671010.265,1783671010265,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671010.265,1783671010265,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671010.265,1783671010265,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671016.99,1783671016990,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671016.99,1783671016990,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671016.99,1783671016990,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671023.472,1783671023472,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671023.472,1783671023472,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671023.472,1783671023472,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671029.907,1783671029907,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671029.907,1783671029907,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671029.907,1783671029907,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671036.471,1783671036471,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671036.471,1783671036471,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671036.471,1783671036471,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671043.168,1783671043168,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671043.168,1783671043168,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671043.168,1783671043168,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671049.9,1783671049900,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671049.9,1783671049900,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671049.9,1783671049900,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671056.473,1783671056473,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671056.473,1783671056473,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671056.473,1783671056473,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671063.171,1783671063171,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671063.171,1783671063171,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671063.171,1783671063171,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671069.486,1783671069486,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671069.486,1783671069486,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671069.486,1783671069486,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671075.835,1783671075835,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671075.835,1783671075835,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671075.835,1783671075835,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671082.574,1783671082574,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671082.574,1783671082574,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671082.574,1783671082574,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671089.159,1783671089159,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671089.159,1783671089159,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671089.159,1783671089159,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671095.732,1783671095732,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671095.732,1783671095732,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671095.732,1783671095732,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671102.41,1783671102410,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671102.41,1783671102410,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,nan,nan,1,1,healthy,nan,none
1783671102.41,1783671102410,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,nan,nan,1,1,healthy,nan,none
