ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783677234.947,1783677234947,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677234.947,1783677234947,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677234.947,1783677234947,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677241.748,1783677241748,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677241.748,1783677241748,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677241.748,1783677241748,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677248.533,1783677248533,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677248.533,1783677248533,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677248.533,1783677248533,dsqwen-7b,zm,333.0,993.4687597800112,0.33518920119213197,333.0,993.4687597800112,0.33518920119213197,0.0,10.666666666666666,21.666666666666668,1,1,crit,333.0,none
1783677255.434,1783677255434,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677255.434,1783677255434,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677255.434,1783677255434,dsqwen-7b,zm,527.348827738632,993.4687597800112,0.5308157126706285,527.348827738632,993.4687597800112,0.5308157126706285,0.0,32.0,65.0,1,1,crit,527.348827738632,none
1783677262.185,1783677262185,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677262.185,1783677262185,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677262.185,1783677262185,dsqwen-7b,zm,662.4692016208536,993.4687597800112,0.666824391908959,662.4692016208536,993.4687597800112,0.666824391908959,0.0,32.0,65.0,1,1,crit,662.4692016208536,none
1783677268.817,1783677268817,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677268.817,1783677268817,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677268.817,1783677268817,dsqwen-7b,zm,945.4090825844507,993.4687597800112,0.9516243699437489,945.4090825844507,993.4687597800112,0.9516243699437489,0.0,53.333333333333336,108.33333333333333,1,1,healthy,945.4090825844507,none
1783677275.526,1783677275526,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677275.526,1783677275526,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677275.526,1783677275526,dsqwen-7b,zm,1245.380382465934,993.4687597800112,1.2535677344717964,1245.380382465934,993.4687597800112,1.2535677344717964,0.0,64.0,130.0,1,1,high,1245.380382465934,none
1783677282.574,1783677282574,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677282.574,1783677282574,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677282.574,1783677282574,dsqwen-7b,zm,1271.1065070843933,993.4687597800112,1.279462987206423,1271.1065070843933,993.4687597800112,1.279462987206423,0.0,42.666666666666664,86.66666666666667,1,1,high,1271.1065070843933,none
1783677289.158,1783677289158,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677289.158,1783677289158,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677289.158,1783677289158,dsqwen-7b,zm,1465.6601043226703,993.4687597800112,1.4752956143756537,1465.6601043226703,993.4687597800112,1.4752956143756537,0.3333333333333333,62.93333333333333,127.83333333333333,1,1,high,1465.6601043226703,none
1783677295.854,1783677295854,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677295.854,1783677295854,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677295.854,1783677295854,dsqwen-7b,zm,1437.1057646892405,993.4687597800112,1.4465535534378213,1437.1057646892405,993.4687597800112,1.4465535534378213,0.3333333333333333,43.733333333333334,88.83333333333333,1,1,high,1437.1057646892405,none
1783677302.62,1783677302620,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677302.62,1783677302620,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783677302.62,1783677302620,dsqwen-7b,zm,1225.3417585587408,993.4687597800112,1.2333973730890888,1225.3417585587408,993.4687597800112,1.2333973730890888,0.3333333333333333,22.4,45.5,1,1,healthy,1225.3417585587408,none
