model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783678747305,162,False,54.98230457305908,15.479189497748697,2008.86270403862,0
dsllama-8b,1,1783678752305,166,False,56.73304945230484,15.499097683767634,2023.5835537314415,0
dsllama-8b,1,1783678757305,164,False,54.98230457305908,15.499097683767634,2023.5835537314415,0
dsllama-8b,1,1783678762305,169,False,54.528117179870605,15.499097683767634,2023.5835537314415,0
dsllama-8b,1,1783678767305,175,False,55.750682950019836,15.499097683767634,2023.5835537314415,0
dsllama-8b,1,1783678772305,169,False,55.50983548164368,15.477557233938082,2007.0822313427925,0
dsllama-8b,1,1783678777305,163,False,50.25865137577057,15.477557233938082,2007.0822313427925,0
dsllama-8b,1,1783678782305,153,False,46.914681792259216,14.630474912838674,1895.7509398460388,0
dsllama-8b,1,1783678787305,166,False,48.46441000699997,14.703038991905572,1905.7785272598267,0
dsllama-8b,1,1783678792305,165,False,48.556022346019745,14.699173959221428,1905.4987952113152,0
dsllama-8b,1,1783678797305,166,False,47.42036014795303,14.724623910554751,1908.2360193133354,0
dsllama-8b,1,1783678802305,171,False,47.492615878582,14.735882265830604,1909.9499583244324,0
dsllama-8b,1,1783678807305,180,False,48.46441000699997,14.735882265830604,1909.9499583244324,0
dsllama-8b,1,1783678812305,174,False,48.46441000699997,14.735882265830604,1908.9169427752495,0
dsllama-8b,1,1783678817305,168,False,48.556022346019745,14.702965014093504,1906.2080681324005,0
dsllama-8b,1,1783678822305,173,False,49.07379299402237,14.702965014093504,1906.2080681324005,0
dsllama-8b,1,1783678827305,165,False,46.753764152526855,14.645711174161415,1900.473840534687,0
dsllama-8b,1,1783678832305,169,False,49.78790879249573,14.798554848498247,1916.428029537201,0
dsllama-8b,1,1783678837305,171,False,72.38365709781647,14.842266935532487,1936.085157096386,0
dsllama-8b,1,1783678842305,185,False,92.24366396665573,14.868653137383498,1959.2038244009018,0
dsllama-8b,1,1783678847305,177,False,92.30784326791763,14.869562342880279,1962.8349170088768,0
dsllama-8b,1,1783678852305,179,False,92.30784326791763,14.869562342880279,1962.8349170088768,0
dsllama-8b,1,1783678857305,178,False,92.30784326791763,14.869562342880279,1962.8349170088768,0
dsllama-8b,1,1783678862305,168,False,93.20526570081711,14.85006247214445,1959.2038244009018,0
dsllama-8b,1,1783678867305,158,False,102.40428894758224,14.791335118567849,1944.8493123054504,0
dsllama-8b,1,1783678872305,145,False,90.29241651296616,14.714170863309244,1916.7548567056656,0
dsllama-8b,1,1783678877305,142,False,90.59003740549088,14.706013592209404,1914.767600595951,0
dsllama-8b,1,1783678882305,125,False,93.20526570081711,14.553655613595106,1915.032610297203,0
dsllama-8b,1,1783678887305,144,False,109.33175683021545,14.92704556682917,1960.1795449852943,0
dsllama-8b,1,1783678892305,139,False,118.52124333381653,14.934275973969557,1961.002305150032,0
dsllama-8b,1,1783678897305,147,False,112.62214183807373,14.92704556682917,1975.1105532050133,0
dsllama-8b,1,1783678902305,150,False,114.62412774562836,14.934275973969557,1977.8212755918503,0
dsllama-8b,1,1783678907305,162,False,116.42448604106903,15.004665187494023,1989.8223206400871,0
dsllama-8b,1,1783678912305,188,False,127.03073024749756,15.137331164258672,2012.8375589847565,0
dsllama-8b,1,1783678917305,170,False,128.96984070539474,15.137331164258672,2009.5870718359947,0
dsllama-8b,1,1783678922305,180,False,128.96984070539474,15.137331164258672,2009.5870718359947,0
dsllama-8b,1,1783678927305,178,False,128.96984070539474,15.137331164258672,2009.5870718359947,0
dsllama-8b,1,1783678932305,185,False,128.85566800832748,15.157301770889854,2012.8375589847565,0
dsllama-8b,1,1783678937305,184,False,127.03073024749756,15.174347232645891,2015.3609588742256,0
dsllama-8b,1,1783678942305,159,False,130.01276552677155,15.114137213530503,2004.3203756213188,0
dsllama-8b,1,1783678947305,161,False,128.85566800832748,15.114137213530503,2004.3203756213188,0
dsllama-8b,1,1783678952305,161,False,130.01276552677155,15.127504024449296,2005.241222679615,0
dsllama-8b,1,1783678957305,162,False,134.34458523988724,15.127504024449296,2005.241222679615,0
dsllama-8b,1,1783678962305,160,False,139.96544480323792,15.142960517894565,2005.241222679615,0
dsllama-8b,1,1783678967305,168,False,139.47631418704987,15.158567313603529,2007.1835443377495,0
dsllama-8b,1,1783678972305,184,False,135.89245080947876,15.142960517894565,2007.1835443377495,0
dsllama-8b,1,1783678977305,180,False,135.89245080947876,15.142960517894565,2008.243478834629,0
dsllama-8b,1,1783678982305,177,False,134.43413376808167,15.103133996640603,2008.243478834629,0
dsllama-8b,1,1783678987305,188,False,134.43413376808167,15.16756726296868,2008.243478834629,0
dsllama-8b,1,1783678992305,183,False,135.89245080947876,15.133918094353414,2006.4523667097092,0
dsllama-8b,1,1783678997305,171,False,132.34388828277588,15.02565669966495,1990.2180135250092,0
dsllama-8b,1,1783679002305,158,False,134.43413376808167,15.02565669966495,1990.2180135250092,0
dsllama-8b,1,1783679007305,167,False,137.55889981985092,15.001738751967123,1990.2180135250092,0
dsllama-8b,1,1783679012305,172,False,134.69430804252625,15.033895575155423,1990.46890437603,0
dsllama-8b,1,1783679017305,157,False,133.5114687681198,14.89506726424525,1986.4056780934334,0
dsllama-8b,1,1783679022305,163,False,123.1340616941452,14.878286972759277,1974.5302870869637,0
dsllama-8b,1,1783679027305,170,False,133.5114687681198,15.025785588842677,2001.1617615818977,0
dsllama-8b,1,1783679032305,171,False,134.69430804252625,15.025785588842677,2001.1617615818977,0
dsllama-8b,1,1783679037305,180,False,135.4254186153412,15.123688505859825,2015.5709236860275,0
dsllama-8b,1,1783679042305,175,False,144.55469697713852,15.123688505859825,2017.3291638493538,0
dsllama-8b,1,1783679047305,181,False,139.03343677520752,15.123688505859825,2016.0868391394615,0
dsllama-8b,1,1783679052305,184,False,139.03343677520752,15.126458537860179,2017.3291638493538,0
dsllama-8b,1,1783679057305,176,False,142.78696477413177,15.126458537860179,2005.2680000662804,0
dsllama-8b,1,1783679062305,177,False,142.78696477413177,15.129603621527904,2009.0833082795143,0
dsllama-8b,1,1783679067305,163,False,145.99546045064926,15.111560192633801,2001.508578658104,0
dsllama-8b,1,1783679072305,173,False,142.78696477413177,15.129603621527904,1998.6337646842003,0
dsllama-8b,1,1783679077305,167,False,143.52115988731384,15.129603621527904,1999.6456503868103,0
dsllama-8b,1,1783679082305,160,False,145.99546045064926,15.126718252193271,2000.8125752210617,0
dsllama-8b,1,1783679087305,161,False,143.87664943933487,15.085059592104333,2000.8125752210617,0
dsllama-8b,1,1783679092305,164,False,143.52115988731384,15.085059592104333,2003.6791115999222,0
dsllama-8b,1,1783679097305,159,False,143.52115988731384,15.085059592104333,2003.6791115999222,0
dsllama-8b,1,1783679102305,149,False,133.56245309114456,14.981876560083524,1993.9669072628021,0
dsllama-8b,1,1783679107305,152,False,140.8781036734581,14.986794999265296,1987.0653599500656,0
dsllama-8b,1,1783679112305,161,False,138.51738721132278,15.711776325552483,2088.2031694054604,0
dsllama-8b,1,1783679117305,210,True,206.25001937150955,33.03084924904567,17095.932856202126,0
dsllama-8b,1,1783679122305,260,True,203.77353578805923,36.909786018373445,18977.31027752161,0
dsllama-8b,1,1783679127305,318,True,202.6425004005432,37.279904880169084,19158.919662237167,0
dsllama-8b,1,1783679132305,371,True,6937.57726252079,37.96008547108234,26104.804016649723,0
dsllama-8b,1,1783679137305,420,True,10336.509555578232,38.18501466466023,29706.4927816391,0
dsllama-8b,1,1783679142305,475,True,14810.275807976723,38.19255656225574,33893.58550310135,20
dsllama-8b,1,1783679147305,474,True,18218.194976449013,38.25713682431297,36252.5672018528,38
dsllama-8b,1,1783679152305,465,True,19130.625195801258,38.2606031960004,38223.38601946831,43
dsllama-8b,1,1783679157305,458,True,21810.67379564047,38.28202886415788,38713.00232410431,59
dsllama-8b,1,1783679162305,461,True,21810.67379564047,38.388090780453204,38383.759185671806,74
dsllama-8b,1,1783679167305,460,True,21810.67379564047,38.3441263915508,38507.53804296255,95
dsllama-8b,1,1783679172305,460,True,19162.832044065,38.3458411915195,36873.418532311916,101
dsllama-8b,1,1783679177305,457,True,19325.229078531265,38.326991033064175,37526.39792114496,99
dsllama-8b,1,1783679182305,457,True,19305.37562817335,38.28600632234562,37526.39792114496,110
dsllama-8b,1,1783679187305,450,True,19325.229078531265,38.160336417111395,37526.39792114496,99
dsllama-8b,1,1783679192305,450,True,23561.093755066395,37.81847149833541,38576.67448371649,101
dsllama-8b,1,1783679197305,461,True,23561.093755066395,37.801202933382385,38576.67448371649,107
dsllama-8b,1,1783679202305,459,True,26049.479566514492,37.764688191931775,39529.26813811064,111
dsllama-8b,1,1783679207305,464,True,23891.737550497055,37.796519084336005,39248.06560575962,119
dsllama-8b,1,1783679212305,471,True,25339.05827254057,37.80408369818312,40376.78690999746,123
dsllama-8b,1,1783679217305,491,True,25339.05827254057,37.87359509274451,40376.78690999746,132
dsllama-8b,1,1783679222305,497,True,23891.737550497055,37.90166285873159,39305.061519145966,147
dsllama-8b,1,1783679227305,501,True,23891.737550497055,37.92280524444207,38548.05938154459,153
dsllama-8b,1,1783679232305,477,True,23891.737550497055,37.99536423265584,38725.652135908604,137
dsllama-8b,1,1783679237305,475,True,22584.17035639286,38.08540961688745,38604.53800112009,118
dsllama-8b,1,1783679242305,477,True,20705.359533429146,38.132358495503254,38113.70401084423,126
dsllama-8b,1,1783679247305,477,True,19141.303837299347,38.18048474081808,37163.0130186677,122
dsllama-8b,1,1783679252305,467,True,19263.99151235819,38.17972970976988,37425.59239268303,119
dsllama-8b,1,1783679257305,457,True,19141.303837299347,38.172828664168456,37402.83307433128,107
dsllama-8b,1,1783679262305,466,True,19121.671698987484,38.18048474081808,37150.400906801224,111
dsllama-8b,1,1783679267305,474,True,19141.303837299347,38.18048474081808,36136.33821159601,129
dsllama-8b,1,1783679272305,472,True,19940.28739631176,38.14564333269974,38102.64956206083,111
dsllama-8b,1,1783679277305,472,True,22787.233874201775,38.20190588905387,38693.89051198959,137
dsllama-8b,1,1783679282305,477,True,22787.233874201775,38.26629952208636,38693.89051198959,126
dsllama-8b,1,1783679287305,484,True,23905.75098991394,38.28242030395687,38919.43462193012,133
dsllama-8b,1,1783679292305,479,True,25426.83858424425,38.29242825624761,40652.10945159197,131
dsllama-8b,1,1783679297305,467,True,24971.723645925522,38.31445456367649,38742.099948227406,110
dsllama-8b,1,1783679302305,470,True,25586.29523217678,38.35567587042508,37952.83059030771,131
dsllama-8b,1,1783679307305,482,True,25586.29523217678,38.38320570740915,38124.77816641331,119
dsllama-8b,1,1783679312305,467,True,23457.29262381792,38.35567587042508,38919.43462193012,115
dsllama-8b,1,1783679317305,448,True,21597.70417958498,38.35466190618545,38124.77816641331,103
dsllama-8b,1,1783679322305,454,True,19579.629734158516,38.32634146199534,37453.150138258934,93
dsllama-8b,1,1783679327305,457,True,19579.629734158516,38.31482771966322,37294.59344595671,112
dsllama-8b,1,1783679332305,458,True,19713.35221081972,38.1984736938066,37182.98365920782,102
