ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783704292.165,1783704292165,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783704292.165,1783704292165,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783704292.165,1783704292165,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783704298.984,1783704298984,dsllama-8b,zm,342.6461538461539,1290.915,0.26542890418513526,342.6461538461539,1290.915,0.26542890418513526,4.333333333333333,38.666666666666664,541.3333333333334,1,1,crit,342.6461538461539,none
1783704298.984,1783704298984,dsqwen-14b,zm,1259.595,1020.235,1.234612613760555,1259.595,1020.235,1.234612613760555,0.0,23.0,330.2,1,1,healthy,1259.595,none
1783704298.984,1783704298984,dsqwen-7b,zm,1783.2,993.4687597800112,1.7949230737712005,1783.2,993.4687597800112,1.7949230737712005,1.3333333333333333,61.86666666666667,869.3333333333334,1,1,high,1783.2,none
1783704305.946,1783704305946,dsllama-8b,zm,594.9073658595444,1290.915,0.46084162463023853,594.9073658595444,1290.915,0.46084162463023853,7.0,218.86666666666667,3065.5333333333333,1,1,crit,594.9073658595444,none
1783704305.946,1783704305946,dsqwen-14b,zm,1909.62955228198,1020.235,1.8717545979916197,1909.62955228198,1020.235,1.8717545979916197,1.6666666666666667,106.66666666666667,1498.3666666666666,1,1,high,1909.62955228198,none
1783704305.946,1783704305946,dsqwen-7b,zm,1676.0188117183136,993.4687597800112,1.6870372573058492,1676.0188117183136,993.4687597800112,1.6870372573058492,4.333333333333333,160.06666666666666,2242.133333333333,1,1,high,1676.0188117183136,none
1783704312.911,1783704312911,dsllama-8b,zm,773.0750704805474,1290.915,0.598858228838109,773.0750704805474,1290.915,0.598858228838109,7.0,218.86666666666667,3065.5333333333333,1,1,crit,773.0750704805474,none
1783704312.911,1783704312911,dsqwen-14b,zm,2368.7376457540518,1020.235,2.3217568949840497,2368.7376457540518,1020.235,2.3217568949840497,1.6666666666666667,106.66666666666667,1498.3666666666666,1,1,high,2368.7376457540518,none
1783704312.911,1783704312911,dsqwen-7b,zm,1600.3186034211856,993.4687597800112,1.6108393823833498,1600.3186034211856,993.4687597800112,1.6108393823833498,4.333333333333333,160.06666666666666,2242.133333333333,1,1,high,1600.3186034211856,none
1783704319.83,1783704319830,dsllama-8b,zm,1073.3200413504878,1290.915,0.8314412965613444,1073.3200413504878,1290.915,0.8314412965613444,8.333333333333334,390.6,5466.133333333333,1,1,healthy,1073.3200413504878,none
1783704319.83,1783704319830,dsqwen-14b,zm,2681.0869643217547,1020.235,2.6279111815628307,2681.0869643217547,1020.235,2.6279111815628307,3.0,189.7,2677.866666666667,1,1,high,2681.0869643217547,none
1783704319.83,1783704319830,dsqwen-7b,zm,1539.4714203574351,993.4687597800112,1.5495921791222989,1539.4714203574351,993.4687597800112,1.5495921791222989,8.0,289.8666666666667,4070.133333333333,1,1,high,1539.4714203574351,none
1783704326.803,1783704326803,dsllama-8b,zm,1618.1263101382317,1290.915,1.2534723898461415,1618.1263101382317,1290.915,1.2534723898461415,6.0,457.03333333333336,6389.7,1,1,high,1618.1263101382317,none
1783704326.803,1783704326803,dsqwen-14b,zm,2681.7341251497255,1020.235,2.628545506819238,2681.7341251497255,1020.235,2.628545506819238,5.0,246.96666666666667,3482.5666666666666,1,1,high,2681.7341251497255,none
1783704326.803,1783704326803,dsqwen-7b,zm,1517.387488871725,993.4687597800112,1.5273630639454912,1517.387488871725,993.4687597800112,1.5273630639454912,9.333333333333334,355.56666666666666,5001.966666666666,1,1,high,1517.387488871725,none
