run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t1_apa_seed1,dsllama-8b,z_m,154,66,0,0.9708806818181818,0.9423351158645277
t1_apa_seed1,dsllama-8b,queue_len,154,66,0,0.9836432506887053,0.951038062283737
t1_apa_seed1,dsllama-8b,decode_tps,154,66,0,0.8591597796143251,0.8204152249134948
t1_apa_seed1,dsllama-8b,prefill_tps,154,66,0,0.8591597796143251,0.8204152249134948
t1_apa_seed1,dsqwen-14b,z_m,155,0,0,,
t1_apa_seed1,dsqwen-14b,queue_len,155,0,0,,
t1_apa_seed1,dsqwen-14b,decode_tps,155,0,0,,
t1_apa_seed1,dsqwen-14b,prefill_tps,155,0,0,,
t1_apa_seed1,dsqwen-7b,z_m,154,66,0,0.9725378787878788,0.93719723183391
t1_apa_seed1,dsqwen-7b,queue_len,154,66,0,0.9820075757575758,0.9523356401384083
t1_apa_seed1,dsqwen-7b,decode_tps,154,66,0,0.9101239669421488,0.8900519031141868
t1_apa_seed1,dsqwen-7b,prefill_tps,154,66,0,0.9101239669421488,0.8900519031141868
t1_tre_seed1,dsllama-8b,z_m,154,63,0,0.9952032094889238,0.9681818181818181
t1_tre_seed1,dsllama-8b,queue_len,154,63,0,0.9981684981684982,0.9627622377622378
t1_tre_seed1,dsllama-8b,decode_tps,154,63,0,0.9208965637537067,0.8821678321678321
t1_tre_seed1,dsllama-8b,prefill_tps,154,63,0,0.9208965637537067,0.8821678321678321
t1_tre_seed1,dsqwen-14b,z_m,155,0,0,,
t1_tre_seed1,dsqwen-14b,queue_len,155,0,0,,
t1_tre_seed1,dsqwen-14b,decode_tps,155,0,0,,
t1_tre_seed1,dsqwen-14b,prefill_tps,155,0,0,,
t1_tre_seed1,dsqwen-7b,z_m,154,69,0,0.9072463768115943,0.8664383561643836
t1_tre_seed1,dsqwen-7b,queue_len,154,69,0,0.9131287297527707,0.8757705479452055
t1_tre_seed1,dsqwen-7b,decode_tps,154,69,0,0.8961636828644501,0.8774828767123287
t1_tre_seed1,dsqwen-7b,prefill_tps,154,69,0,0.8961636828644501,0.8774828767123287
t2_apa_seed1,dsllama-8b,z_m,219,113,0,0.9702371013524795,0.9345434543454345
t2_apa_seed1,dsllama-8b,queue_len,219,113,0,0.9732008682584739,0.9453329948379453
t2_apa_seed1,dsllama-8b,decode_tps,219,113,0,0.756720654533311,0.7316154692392316
t2_apa_seed1,dsllama-8b,prefill_tps,219,113,0,0.7557605610285524,0.7307692307692307
t2_apa_seed1,dsqwen-14b,z_m,218,3,0,0.06356589147286822,0.1490566037735849
t2_apa_seed1,dsqwen-14b,queue_len,218,3,0,0.22170542635658916,0.32358490566037734
t2_apa_seed1,dsqwen-14b,decode_tps,218,3,0,0.40310077519379844,0.5754716981132075
t2_apa_seed1,dsqwen-14b,prefill_tps,218,3,0,0.40310077519379844,0.5754716981132075
t2_apa_seed1,dsqwen-7b,z_m,218,118,0,0.9743220338983051,0.9334027055150884
t2_apa_seed1,dsqwen-7b,queue_len,218,118,0,0.96,0.9276361429066944
t2_apa_seed1,dsqwen-7b,decode_tps,218,118,0,0.8436440677966102,0.7850763093999307
t2_apa_seed1,dsqwen-7b,prefill_tps,218,118,0,0.8436440677966102,0.7850763093999307
t2_tre_seed1,dsllama-8b,z_m,219,123,0,0.9702743902439024,0.9674679905931539
t2_tre_seed1,dsllama-8b,queue_len,219,123,0,0.9562584688346883,0.942687919170804
t2_tre_seed1,dsllama-8b,decode_tps,219,123,0,0.7929793360433605,0.7692709694277502
t2_tre_seed1,dsllama-8b,prefill_tps,219,123,0,0.792259485094851,0.7687919170803937
t2_tre_seed1,dsqwen-14b,z_m,218,0,0,,
t2_tre_seed1,dsqwen-14b,queue_len,218,0,0,,
t2_tre_seed1,dsqwen-14b,decode_tps,218,0,0,,
t2_tre_seed1,dsqwen-14b,prefill_tps,218,0,0,,
t2_tre_seed1,dsqwen-7b,z_m,218,47,0,0.8775662560656962,0.8570175438596491
t2_tre_seed1,dsqwen-7b,queue_len,218,47,0,0.849197461739455,0.8303728070175439
t2_tre_seed1,dsqwen-7b,decode_tps,218,47,0,0.8261789224835138,0.8277412280701755
t2_tre_seed1,dsqwen-7b,prefill_tps,218,47,0,0.8261789224835138,0.827686403508772
t3_apa_seed1,dsllama-8b,z_m,212,7,0,0.3372822299651568,0.18041871921182265
