run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t1_apa_seed2,dsllama-8b,z_m,155,60,0,0.9157894736842105,0.8832465277777778
t1_apa_seed2,dsllama-8b,queue_len,155,60,0,0.945,0.9149305555555556
t1_apa_seed2,dsllama-8b,decode_tps,155,60,0,0.8123684210526316,0.7940972222222222
t1_apa_seed2,dsllama-8b,prefill_tps,155,60,0,0.8123684210526316,0.7940972222222222
t1_apa_seed2,dsqwen-14b,z_m,154,0,0,,
t1_apa_seed2,dsqwen-14b,queue_len,154,0,0,,
t1_apa_seed2,dsqwen-14b,decode_tps,154,0,0,,
t1_apa_seed2,dsqwen-14b,prefill_tps,154,0,0,,
t1_apa_seed2,dsqwen-7b,z_m,154,66,0,0.9860537190082644,0.9805363321799307
t1_apa_seed2,dsqwen-7b,queue_len,154,66,0,0.9738292011019284,0.9650519031141869
t1_apa_seed2,dsqwen-7b,decode_tps,154,66,0,0.9176997245179064,0.9001730103806228
t1_apa_seed2,dsqwen-7b,prefill_tps,154,66,0,0.9176997245179064,0.9001730103806228
t1_apa_seed3,dsllama-8b,z_m,154,64,0,0.9876736111111111,0.9598571926158133
t1_apa_seed3,dsllama-8b,queue_len,154,64,0,0.9908854166666666,0.974486241727621
t1_apa_seed3,dsllama-8b,decode_tps,154,64,0,0.8752604166666667,0.8487460815047022
t1_apa_seed3,dsllama-8b,prefill_tps,154,64,0,0.8752604166666667,0.8487460815047022
t1_apa_seed3,dsqwen-14b,z_m,155,6,0,0.5274049217002237,0.4571917808219178
t1_apa_seed3,dsqwen-14b,queue_len,155,6,0,0.40939597315436244,0.4272260273972603
t1_apa_seed3,dsqwen-14b,decode_tps,155,6,0,0.441834451901566,0.4922945205479452
t1_apa_seed3,dsqwen-14b,prefill_tps,155,6,0,0.441834451901566,0.4922945205479452
t1_apa_seed3,dsqwen-7b,z_m,154,66,0,0.9569559228650137,0.9214532871972319
t1_apa_seed3,dsqwen-7b,queue_len,154,66,0,0.9711604683195593,0.9333910034602076
t1_apa_seed3,dsqwen-7b,decode_tps,154,66,0,0.912620523415978,0.8884948096885813
t1_apa_seed3,dsqwen-7b,prefill_tps,154,66,0,0.912620523415978,0.8884948096885813
t1_tre_seed2,dsllama-8b,z_m,155,66,0,0.9749744637385087,0.9425444596443229
t1_tre_seed2,dsllama-8b,queue_len,155,66,0,0.9759959141981613,0.949469904240766
t1_tre_seed2,dsllama-8b,decode_tps,155,66,0,0.869084099421178,0.8457592339261286
t1_tre_seed2,dsllama-8b,prefill_tps,155,66,0,0.869084099421178,0.8457592339261286
t1_tre_seed2,dsqwen-14b,z_m,154,0,0,,
t1_tre_seed2,dsqwen-14b,queue_len,154,0,0,,
t1_tre_seed2,dsqwen-14b,decode_tps,154,0,0,,
t1_tre_seed2,dsqwen-14b,prefill_tps,154,0,0,,
t1_tre_seed2,dsqwen-7b,z_m,154,69,0,0.9645353793691389,0.969263698630137
t1_tre_seed2,dsqwen-7b,queue_len,154,69,0,0.958312020460358,0.9316780821917808
t1_tre_seed2,dsqwen-7b,decode_tps,154,69,0,0.9532821824381926,0.9526541095890411
t1_tre_seed2,dsqwen-7b,prefill_tps,154,69,0,0.9532821824381926,0.9526541095890411
t1_tre_seed3,dsllama-8b,z_m,154,66,0,0.9899276859504132,0.9720588235294118
t1_tre_seed3,dsllama-8b,queue_len,154,66,0,0.987517217630854,0.9624567474048443
t1_tre_seed3,dsllama-8b,decode_tps,154,66,0,0.8851584022038568,0.8486159169550173
t1_tre_seed3,dsllama-8b,prefill_tps,154,66,0,0.8851584022038568,0.8486159169550173
t1_tre_seed3,dsqwen-14b,z_m,155,0,0,,
t1_tre_seed3,dsqwen-14b,queue_len,155,0,0,,
t1_tre_seed3,dsqwen-14b,decode_tps,155,0,0,,
t1_tre_seed3,dsqwen-14b,prefill_tps,155,0,0,,
t1_tre_seed3,dsqwen-7b,z_m,154,63,0,0.9602302459445317,0.9453671328671329
t1_tre_seed3,dsqwen-7b,queue_len,154,63,0,0.9767137624280482,0.9518356643356644
t1_tre_seed3,dsqwen-7b,decode_tps,154,63,0,0.975492761207047,0.9701048951048951
t1_tre_seed3,dsqwen-7b,prefill_tps,154,63,0,0.975492761207047,0.9701048951048951
t3_apa_seed2,dsllama-8b,z_m,212,6,0,0.2872168284789644,0.2857142857142857
