model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783834829575,158,False,52.28809267282486,15.31526634073633,1991.9327273964882,0
dsllama-8b,1,1783834834575,164,False,55.867113173007965,15.287960490842504,1988.8444021344185,0
dsllama-8b,1,1783834839575,154,False,55.867113173007965,15.31526634073633,1991.9327273964882,0
dsllama-8b,1,1783834844575,143,False,53.28131467103958,15.287960490842504,1982.6873987913132,0
dsllama-8b,1,1783834849575,141,False,50.791241228580475,15.287960490842504,1982.6873987913132,0
dsllama-8b,1,1783834854575,141,False,50.757721066474915,15.107184179185882,1962.5213965773582,0
dsllama-8b,1,1783834859575,142,False,50.757721066474915,15.107184179185882,1962.5213965773582,0
dsllama-8b,1,1783834864575,141,False,48.9773228764534,15.125483509123795,1959.4864323735237,0
dsllama-8b,1,1783834869575,149,False,48.9773228764534,15.517390795110718,2010.7817724347115,0
dsllama-8b,1,1783834874575,146,False,48.17179590463638,15.517390795110718,2010.7817724347115,0
dsllama-8b,1,1783834879575,152,False,49.86698180437088,15.517390795110718,2010.7817724347115,0
dsllama-8b,1,1783834884575,149,False,50.53305625915527,15.517390795110718,2010.7817724347115,0
dsllama-8b,1,1783834889575,156,False,53.448326885700226,15.682067047423265,2039.0694215893745,0
dsllama-8b,1,1783834894575,157,False,53.55192720890045,15.682067047423265,2039.0694215893745,0
dsllama-8b,1,1783834899575,155,False,53.55192720890045,15.65758578889952,2039.0694215893745,0
dsllama-8b,1,1783834904575,169,False,52.652426064014435,15.649415435284142,2028.408907353878,0
dsllama-8b,1,1783834909575,179,False,51.038458943367004,15.649415435284142,2028.408907353878,0
dsllama-8b,1,1783834914575,177,False,52.652426064014435,15.649415435284142,2028.408907353878,0
dsllama-8b,1,1783834919575,178,False,71.07286900281906,15.360613214218711,2011.1434683203697,0
dsllama-8b,1,1783834924575,177,False,103.67019474506378,15.362891859895601,2033.652737736702,0
dsllama-8b,1,1783834929575,177,False,110.7153445482254,15.405109548193263,2034.462831914425,0
dsllama-8b,1,1783834934575,170,False,110.7153445482254,15.405109548193263,2035.6159508228302,0
dsllama-8b,1,1783834939575,152,False,112.26380616426468,15.405109548193263,2037.4586805701256,0
dsllama-8b,1,1783834944575,156,False,112.26380616426468,15.405109548193263,2037.4586805701256,0
dsllama-8b,1,1783834949575,148,False,116.46558344364166,15.439250983121827,2055.277243256569,0
dsllama-8b,1,1783834954575,149,False,124.72150474786758,15.535211938572681,2061.382956802845,0
dsllama-8b,1,1783834959575,144,False,134.64085012674332,15.535211938572681,2065.524734556675,0
dsllama-8b,1,1783834964575,140,False,143.70211213827133,15.554002244172134,2066.7040646076202,0
dsllama-8b,1,1783834969575,144,False,134.64085012674332,15.535211938572681,2065.524734556675,0
dsllama-8b,1,1783834974575,144,False,143.70211213827133,15.565177997735542,2065.524734556675,0
dsllama-8b,1,1783834979575,143,False,168.220654129982,15.469185831978566,2060.2264180779457,0
dsllama-8b,1,1783834984575,143,False,142.16507971286774,15.336845334120623,2049.4988784193993,0
dsllama-8b,1,1783834989575,144,False,138.13720643520355,15.336845334120623,2049.1445288062096,0
dsllama-8b,1,1783834994575,153,False,138.13720643520355,15.762278238150078,2063.7460947036743,0
dsllama-8b,1,1783834999575,165,False,138.13720643520355,15.725883149255917,2063.7460947036743,0
dsllama-8b,1,1783835004575,155,False,142.16507971286774,15.762278238150078,2063.875235617161,0
dsllama-8b,1,1783835009575,161,False,135.25066524744034,15.725883149255917,2063.1263703107834,0
dsllama-8b,1,1783835014575,157,False,122.43412435054779,15.725883149255917,2057.550624012947,0
dsllama-8b,1,1783835019575,163,False,118.74420940876007,15.95114634966287,2077.6187777519226,0
dsllama-8b,1,1783835024575,164,False,118.74420940876007,15.948196154410445,2073.907233774662,0
dsllama-8b,1,1783835029575,161,False,115.77039957046509,15.948196154410445,2072.2255259752274,0
dsllama-8b,1,1783835034575,179,False,131.78177177906036,16.46438786598641,2155.790127813816,0
dsllama-8b,1,1783835039575,181,False,111.54227703809738,16.429236144062102,2145.780496299267,0
dsllama-8b,1,1783835044575,181,False,109.16806012392044,16.429236144062102,2145.780496299267,0
