ts,window_id,model,signal_source,raw_signal,theta,z,tss,theta_m,z_m,queue_len,decode_tps,prefill_tps,replicas_awake,replicas_target,tier,eta_m,action
1783841619.408,1783841619408,dsllama-8b,zm,0.0,1290.915,nan,0.0,1290.915,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783841619.408,1783841619408,dsqwen-14b,zm,0.0,1020.235,nan,0.0,1020.235,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783841619.408,1783841619408,dsqwen-7b,zm,0.0,993.4687597800112,nan,0.0,993.4687597800112,nan,0.0,0.0,0.0,1,1,healthy,nan,none
1783841626.188,1783841626188,dsllama-8b,zm,816.125,1290.915,0.6322066131387427,816.125,1290.915,0.6322066131387427,4.0,106.66666666666667,107.5,1,1,crit,816.125,none
1783841626.188,1783841626188,dsqwen-14b,zm,839.5885000000001,1020.235,0.8229363823040771,839.5885000000001,1020.235,0.8229363823040771,5.0,132.26666666666668,133.3,1,1,healthy,839.5885000000001,none
1783841626.188,1783841626188,dsqwen-7b,zm,1741.0666666666666,993.4687597800112,1.7525127484151588,1741.0666666666666,993.4687597800112,1.7525127484151588,3.0,170.66666666666666,172.0,1,1,high,1741.0666666666666,none
1783841633.56,1783841633560,dsllama-8b,zm,816.125,1290.915,0.6322066131387427,816.125,1290.915,0.6322066131387427,4.0,106.66666666666667,107.5,1,1,crit,816.125,none
1783841633.56,1783841633560,dsqwen-14b,zm,839.5885000000001,1020.235,0.8229363823040771,839.5885000000001,1020.235,0.8229363823040771,5.0,132.26666666666668,133.3,1,1,healthy,839.5885000000001,none
1783841633.56,1783841633560,dsqwen-7b,zm,1741.0666666666666,993.4687597800112,1.7525127484151588,1741.0666666666666,993.4687597800112,1.7525127484151588,3.0,170.66666666666666,172.0,1,1,high,1741.0666666666666,none
1783841640.078,1783841640078,dsllama-8b,zm,955.616266519891,1290.915,0.7402627334254316,955.616266519891,1290.915,0.7402627334254316,7.333333333333333,315.73333333333335,318.2,1,1,crit,955.616266519891,none
1783841640.078,1783841640078,dsqwen-14b,zm,1058.0319920135976,1020.235,1.037047339106772,1058.0319920135976,1020.235,1.037047339106772,7.0,358.4,361.2,1,1,healthy,1058.0319920135976,none
