model,serve_id,node,gpu_ids,cycle_idx,direction,cold,t_api_start,t_api_return,t_log_marker,t_ready,dur_api_s,dur_engine_s,dur_e2e_s,mem_before_mb,mem_after_mb,inflight_load,inflight_total,inflight_errors,inflight_p99_ms
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,1,sleep,True,2026-07-10T09:08:54.381266Z,2026-07-10T09:08:55.602729Z,2026-07-10T09:08:55.406693Z,2026-07-10T09:08:55.607323Z,1.221462,1.081203,1.226057,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,1,wake,True,2026-07-10T09:08:56.913892Z,2026-07-10T09:08:57.622328Z,2026-07-10T09:08:57.475829Z,2026-07-10T09:08:57.647714Z,0.708436,0.625705,0.733822,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,2,sleep,False,2026-07-10T09:08:58.957196Z,2026-07-10T09:09:00.025971Z,2026-07-10T09:08:59.877616Z,2026-07-10T09:09:00.032063Z,1.068776,0.982058,1.074868,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,2,wake,False,2026-07-10T09:09:01.338688Z,2026-07-10T09:09:02.045421Z,2026-07-10T09:09:01.899620Z,2026-07-10T09:09:02.069862Z,0.706733,0.626299,0.731174,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,3,sleep,False,2026-07-10T09:09:03.373628Z,2026-07-10T09:09:04.443159Z,2026-07-10T09:09:04.300663Z,2026-07-10T09:09:04.448504Z,1.069531,0.992183,1.074876,36752,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,3,wake,False,2026-07-10T09:09:05.748019Z,2026-07-10T09:09:06.448903Z,2026-07-10T09:09:06.308310Z,2026-07-10T09:09:06.473919Z,0.700884,0.626509,0.7259,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,4,sleep,False,2026-07-10T09:09:07.783047Z,2026-07-10T09:09:08.879665Z,2026-07-10T09:09:08.734767Z,2026-07-10T09:09:08.884593Z,1.096617,1.018696,1.101546,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,4,wake,False,2026-07-10T09:09:10.181880Z,2026-07-10T09:09:10.886762Z,2026-07-10T09:09:10.742764Z,2026-07-10T09:09:10.921001Z,0.704882,0.631239,0.739122,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,5,sleep,False,2026-07-10T09:09:12.217915Z,2026-07-10T09:09:13.316070Z,2026-07-10T09:09:13.171805Z,2026-07-10T09:09:13.321571Z,1.098155,1.027248,1.103656,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,5,wake,False,2026-07-10T09:09:14.629864Z,2026-07-10T09:09:15.373903Z,2026-07-10T09:09:15.224413Z,2026-07-10T09:09:15.399727Z,0.744039,0.657765,0.769862,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,6,sleep,False,2026-07-10T09:09:16.712988Z,2026-07-10T09:09:17.804849Z,2026-07-10T09:09:17.661448Z,2026-07-10T09:09:17.809897Z,1.091861,1.016371,1.096909,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,6,wake,False,2026-07-10T09:09:19.111465Z,2026-07-10T09:09:19.863981Z,2026-07-10T09:09:19.725865Z,2026-07-10T09:09:19.898112Z,0.752516,0.62567,0.786648,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,7,sleep,False,2026-07-10T09:09:21.215936Z,2026-07-10T09:09:22.320250Z,2026-07-10T09:09:22.181715Z,2026-07-10T09:09:22.325357Z,1.104315,1.037528,1.109421,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,7,wake,False,2026-07-10T09:09:23.621898Z,2026-07-10T09:09:24.333182Z,2026-07-10T09:09:24.184429Z,2026-07-10T09:09:24.358291Z,0.711284,0.627531,0.736393,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,8,sleep,False,2026-07-10T09:09:25.674383Z,2026-07-10T09:09:26.757525Z,2026-07-10T09:09:26.618440Z,2026-07-10T09:09:26.773853Z,1.083142,1.008137,1.09947,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,8,wake,False,2026-07-10T09:09:28.070259Z,2026-07-10T09:09:28.754259Z,2026-07-10T09:09:28.609935Z,2026-07-10T09:09:28.779139Z,0.684,0.625379,0.708879,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,9,sleep,False,2026-07-10T09:09:30.094957Z,2026-07-10T09:09:31.163846Z,2026-07-10T09:09:31.025194Z,2026-07-10T09:09:31.168143Z,1.068888,0.9887,1.073186,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,9,wake,False,2026-07-10T09:09:32.469906Z,2026-07-10T09:09:33.166835Z,2026-07-10T09:09:33.025565Z,2026-07-10T09:09:33.197314Z,0.696929,0.624763,0.727408,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,10,sleep,False,2026-07-10T09:09:34.513869Z,2026-07-10T09:09:35.554848Z,2026-07-10T09:09:35.414170Z,2026-07-10T09:09:35.568000Z,1.040979,0.987006,1.05413,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,10,wake,False,2026-07-10T09:09:36.873848Z,2026-07-10T09:09:37.553789Z,2026-07-10T09:09:37.414803Z,2026-07-10T09:09:37.584150Z,0.679941,0.625943,0.710301,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,11,sleep,False,2026-07-10T09:09:38.897034Z,2026-07-10T09:09:39.963619Z,2026-07-10T09:09:39.818765Z,2026-07-10T09:09:39.968880Z,1.066584,1.004911,1.071846,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,11,wake,False,2026-07-10T09:09:41.273896Z,2026-07-10T09:09:41.961373Z,2026-07-10T09:09:41.820066Z,2026-07-10T09:09:41.989651Z,0.687477,0.632752,0.715755,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,12,sleep,False,2026-07-10T09:09:43.299173Z,2026-07-10T09:09:44.384526Z,2026-07-10T09:09:44.243454Z,2026-07-10T09:09:44.390450Z,1.085353,0.998697,1.091277,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,12,wake,False,2026-07-10T09:09:45.690910Z,2026-07-10T09:09:46.393202Z,2026-07-10T09:09:46.249374Z,2026-07-10T09:09:46.423651Z,0.702292,0.624642,0.732741,4070,37932,False,0,0,
