model,cycle_idx,request_idx,t_start,t_end,latency_ms,ok,status,error
dsllama-8b,21,0,2026-07-10T09:10:23.118566Z,2026-07-10T09:10:23.149584Z,31.018,True,200,
dsllama-8b,21,1,2026-07-10T09:10:23.618694Z,2026-07-10T09:10:23.648175Z,29.481,True,200,
dsllama-8b,21,2,2026-07-10T09:10:24.118639Z,2026-07-10T09:10:24.148880Z,30.241,True,200,
dsllama-8b,21,3,2026-07-10T09:10:24.618603Z,2026-07-10T09:10:24.643068Z,24.465,True,200,
dsllama-8b,21,4,2026-07-10T09:10:25.118610Z,2026-07-10T09:10:25.145925Z,27.314,True,200,
dsllama-8b,21,5,2026-07-10T09:10:25.618594Z,2026-07-10T09:10:25.648400Z,29.806,True,200,
dsllama-8b,21,6,2026-07-10T09:10:26.118570Z,2026-07-10T09:10:26.144158Z,25.588,True,200,
dsllama-8b,21,7,2026-07-10T09:10:26.618645Z,2026-07-10T09:10:26.645623Z,26.978,True,200,
dsllama-8b,21,8,2026-07-10T09:10:27.118695Z,2026-07-10T09:10:27.145465Z,26.769,True,200,
dsllama-8b,21,9,2026-07-10T09:10:27.618624Z,2026-07-10T09:10:27.644357Z,25.733,True,200,
dsllama-8b,21,10,2026-07-10T09:10:28.118661Z,2026-07-10T09:10:28.145522Z,26.861,True,200,
dsllama-8b,21,11,2026-07-10T09:10:28.618689Z,2026-07-10T09:10:28.644904Z,26.215,True,200,
dsllama-8b,21,12,2026-07-10T09:10:29.118643Z,2026-07-10T09:10:29.149161Z,30.518,True,200,
dsllama-8b,21,13,2026-07-10T09:10:29.618684Z,2026-07-10T09:10:29.643470Z,24.786,True,200,
dsllama-8b,21,14,2026-07-10T09:10:30.118606Z,2026-07-10T09:10:30.148751Z,30.146,True,200,
dsllama-8b,21,15,2026-07-10T09:10:30.618614Z,2026-07-10T09:10:30.648006Z,29.392,True,200,
dsllama-8b,21,16,2026-07-10T09:10:31.118589Z,2026-07-10T09:10:31.145180Z,26.591,True,200,
dsllama-8b,21,17,2026-07-10T09:10:31.618727Z,2026-07-10T09:10:31.655303Z,36.576,True,200,
dsllama-8b,21,18,2026-07-10T09:10:32.118754Z,2026-07-10T09:10:32.149100Z,30.346,True,200,
dsllama-8b,21,19,2026-07-10T09:10:32.618655Z,2026-07-10T09:10:32.650743Z,32.088,True,200,
dsllama-8b,21,20,2026-07-10T09:10:33.118624Z,2026-07-10T09:10:33.148073Z,29.449,True,200,
dsllama-8b,21,21,2026-07-10T09:10:33.618646Z,2026-07-10T09:10:33.649594Z,30.948,True,200,
dsllama-8b,21,22,2026-07-10T09:10:34.118663Z,2026-07-10T09:10:34.148671Z,30.008,True,200,
dsllama-8b,21,23,2026-07-10T09:10:34.618686Z,2026-07-10T09:10:34.648498Z,29.811,True,200,
dsllama-8b,21,24,2026-07-10T09:10:35.118753Z,2026-07-10T09:10:35.149055Z,30.302,True,200,
dsllama-8b,21,25,2026-07-10T09:10:35.618792Z,2026-07-10T09:10:35.648147Z,29.356,True,200,
dsllama-8b,21,26,2026-07-10T09:10:36.118700Z,2026-07-10T09:10:36.145081Z,26.381,True,200,
dsllama-8b,21,27,2026-07-10T09:10:36.618657Z,2026-07-10T09:10:36.649098Z,30.441,True,200,
dsllama-8b,21,28,2026-07-10T09:10:37.118588Z,2026-07-10T09:10:37.144379Z,25.791,True,200,
dsllama-8b,21,29,2026-07-10T09:10:37.618665Z,2026-07-10T09:10:37.648057Z,29.392,True,200,
dsllama-8b,21,30,2026-07-10T09:10:38.118744Z,2026-07-10T09:10:38.144934Z,26.19,True,200,
