model,direction,regime,n,dur_e2e_median_s,dur_e2e_p95_s,dur_api_median_s,dur_engine_median_s,mem_before_median_mb,mem_after_median_mb
dsllama-8b,sleep,cold,1,1.226057,1.226057,1.221462,1.081203,37932.0,4070.0
dsllama-8b,sleep,steady_unloaded,19,1.089779,1.109421,1.083142,0.998697,37932.0,4070.0
dsllama-8b,sleep,inflight,5,1.141531,1.170358,1.136732,1.060841,37932.0,4070.0
dsllama-8b,wake,cold,1,0.733822,0.733822,0.708436,0.625705,4070.0,37932.0
dsllama-8b,wake,steady_unloaded,19,0.731174,0.786648,0.700884,0.625927,4070.0,37932.0
dsllama-8b,wake,inflight,5,0.730449,0.749439,0.705221,0.626861,4070.0,37932.0
dsqwen-14b,sleep,cold,1,2.340384,2.340384,2.333665,2.2617,74764.0,8140.0
dsqwen-14b,sleep,steady_unloaded,19,1.805874,2.561242,1.801672,1.739984,74764.0,8140.0
dsqwen-14b,sleep,inflight,5,1.741323,1.806207,1.737293,1.690149,74768.0,8140.0
dsqwen-14b,wake,cold,1,0.745468,0.745468,0.710749,0.665305,8140.0,74764.0
dsqwen-14b,wake,steady_unloaded,19,0.752411,0.780932,0.71859,0.666195,8140.0,74764.0
dsqwen-14b,wake,inflight,5,0.745886,0.752556,0.71778,0.660509,8140.0,74768.0
dsqwen-7b,sleep,cold,1,1.180587,1.180587,1.174988,1.09452,37892.0,4070.0
dsqwen-7b,sleep,steady_unloaded,19,1.095597,1.156076,1.091586,1.025284,37892.0,4070.0
dsqwen-7b,sleep,inflight,5,1.148812,1.188911,1.144784,1.073077,37892.0,4070.0
dsqwen-7b,wake,cold,1,0.679078,0.679078,0.652513,0.596285,4070.0,37892.0
dsqwen-7b,wake,steady_unloaded,19,0.693407,0.734373,0.665893,0.596327,4070.0,37892.0
dsqwen-7b,wake,inflight,5,0.692284,0.710484,0.670846,0.595756,4070.0,37892.0
